"scenario","site","md","S_martin","S_wf","inc_days"
"NB","AveHazel","11-25",0.634761733784843,0.988907988161964,92.12
"NB","AveHazel","11-26",0.677977755360335,0.99096296376848,92.62
"NB","AveHazel","11-27",0.722885225987653,0.992829004356297,93
"NB","AveHazel","11-28",0.765197554003824,0.994184494688864,93.24
"NB","AveHazel","11-29",0.806145873460448,0.995233640273325,94
"NB","AveHazel","11-30",0.847503902714217,0.996257025756596,94.24
"NB","AveHazel","12-01",0.886166466863242,0.997075631866936,95
"NB","AveHazel","12-02",0.907155087160685,0.997309337646559,95
"NB","AveHazel","12-03",0.927004577736792,0.997525622532168,95
"NB","AveHazel","12-04",0.94534434326899,0.997698371557252,95.24
"NB","AveHazel","12-05",0.960430923639295,0.997819118146489,96
"NB","AveHazel","12-06",0.972793610334783,0.997944024780969,96
"NB","AveHazel","12-07",0.983729102117954,0.998041374979285,96
"NB","AveHazel","12-08",0.992338420424118,0.998124667734555,96
"NB","AveHazel","12-09",0.997958527720382,0.998187804689071,96.24
"NB","AveHazel","12-10",1,0.998195701130642,97
"NB","AveHazel","12-11",1,0.998219412570303,97
"NB","AveHazel","12-12",1,0.998232220700301,97
"NB","AveHazel","12-13",1,0.998245411432562,97
"NB","AveHazel","12-14",1,0.998247341319368,97
"NB","AveHazel","12-15",1,0.998228082963797,97
"NB","AveHazel","12-16",1,0.99819210430473,97
"NB","AveHazel","12-17",1,0.998154237746439,97
"NB","AveHazel","12-18",1,0.998089206142268,97
"NB","AveHazel","12-19",1,0.998016379733681,97
"NB","AveHazel","12-20",1,0.997935333808713,97
"NB","AveHazel","12-21",1,0.997839699990273,97
"NB","AveHazel","12-22",1,0.997749119166891,97
"NB","AveHazel","12-23",1,0.997646057196028,97
"NB","AveHazel","12-24",1,0.997544033257183,97
"NB","AveHazel","12-25",1,0.997433772667538,97
"NB","AveHazel","12-26",1,0.997291782380663,97
"NB","AveHazel","12-27",1,0.997143360729916,97
"NB","AveHazel","12-28",1,0.996974162821307,97
"NB","AveHazel","12-29",1,0.996835535178459,97
"NB","AveHazel","12-30",1,0.996675372549013,97
"NB","AveHazel","12-31",1,0.996691892002303,96
"NB","AveWatt","01-01",0.912048921513724,0.990595006929121,93
"NB","AveWatt","01-02",0.912048921513724,0.990614763905336,92
"NB","AveWatt","01-03",0.894486136705485,0.989749494302825,92
"NB","AveWatt","01-04",0.876778143047285,0.988862731258094,92
"NB","AveWatt","01-05",0.864288593155034,0.988191551648423,92
"NB","AveWatt","01-06",0.864288593155034,0.988213965095374,91
"NB","AveWatt","01-07",0.845792666758558,0.987253341139806,91
"NB","AveWatt","01-08",0.825226774255587,0.986141755414636,91
"NB","AveWatt","01-09",0.797908604174975,0.984419722026892,91
"NB","AveWatt","01-10",0.797908604174975,0.984441881618893,90
"NB","AveWatt","01-11",0.773901976712948,0.98296625967564,90
"NB","AveWatt","01-12",0.747539896872757,0.981171194339102,90
"NB","AveWatt","01-13",0.747539896872757,0.981199226209565,89
"NB","AveWatt","01-14",0.726196964340437,0.979837785125001,89
"NB","AveWatt","01-15",0.703353940813177,0.978244132933702,89
"NB","AveWatt","01-16",0.680289161607604,0.976567144160219,89
"NB","AveWatt","01-17",0.680289161607604,0.976594808048222,88
"NB","AveWatt","01-18",0.658156416459432,0.974943606873022,88
"NB","AveWatt","01-19",0.63388870310185,0.972896744581727,88
"NB","AveWatt","01-20",0.63388870310185,0.972929866010356,87
"NB","AveWatt","01-21",0.608060602755342,0.970456480004882,87
"NB","AveWatt","01-22",0.579215540468516,0.966992358545993,87
"NB","AveWatt","01-23",0.549713515117855,0.962878228375236,87
"NB","AveWatt","01-24",0.549713515117855,0.96292254930175,86
"NB","AveWatt","01-25",0.519372879258844,0.957852865310411,86
"NB","AveWatt","01-26",0.489912282868153,0.952404053069459,86
"NB","AveWatt","01-27",0.489912282868153,0.952407912805647,85
"NB","AveWatt","01-28",0.460748240233977,0.946157228251021,85
"NB","AveWatt","01-29",0.431247150386739,0.938353653377199,85
"NB","AveWatt","01-30",0.431247150386739,0.938429088733851,84
"NB","AveWatt","01-31",0.405711199467161,0.932383649713841,84
"NB","AveWatt","10-01",0.000919382249484636,5.0862635707953e-05,57.12
"NB","AveWatt","10-02",0.00106397828607643,0.000141627276569105,57.56
"NB","AveWatt","10-03",0.00123843047295026,0.000308967420128673,57.93
"NB","AveWatt","10-04",0.00143293666852772,0.000576904352262751,58.56
"NB","AveWatt","10-05",0.00166624858911856,0.00109738358406913,58.93
"NB","AveWatt","10-06",0.00194955229567515,0.00227517002175311,59.56
"NB","AveWatt","10-07",0.00229494757538219,0.00537114968195935,59.93
"NB","AveWatt","10-08",0.00270859588135129,0.0108112342679691,60.56
"NB","AveWatt","10-09",0.00320224342970093,0.0170827492495564,60.99
"NB","AveWatt","10-10",0.00377474637450315,0.0248183749582624,61.75
"NB","AveWatt","10-11",0.00443895503810011,0.0317906482702942,61.99
"NB","AveWatt","10-12",0.00521183714593395,0.0394489749270563,62.87
"NB","AveWatt","10-13",0.00609531295707127,0.0464131835548941,63.37
"NB","AveWatt","10-14",0.00710916616085892,0.0538274746589073,63.93
"NB","AveWatt","10-15",0.00831336039175851,0.0640998220652174,64.68
"NB","AveWatt","10-16",0.0097223036428442,0.0760010530771564,65.37
"NB","AveWatt","10-17",0.0113554283917454,0.089400234221153,65.93
"NB","AveWatt","10-18",0.0133151800097673,0.105966440903278,66.74
"NB","AveWatt","10-19",0.0157709466014339,0.131313083162358,67.68
"NB","AveWatt","10-20",0.0185816114575831,0.159257222953177,68.43
"NB","AveWatt","10-21",0.021786517500995,0.189618092756621,69.18
"NB","AveWatt","10-22",0.0255532852998312,0.228255243202649,69.93
"NB","AveWatt","10-23",0.0300719730300224,0.274721235590994,70.74
"NB","AveWatt","10-24",0.0353817922015375,0.328715274727071,71.74
"NB","AveWatt","10-25",0.0413927687621015,0.375721229184323,72.68
"NB","AveWatt","10-26",0.0481584578030564,0.418470739707629,73.43
"NB","AveWatt","10-27",0.0559643650859648,0.466956759430045,74.37
"NB","AveWatt","10-28",0.0649025737880601,0.515272645885917,75.18
"NB","AveWatt","10-29",0.0755031365927131,0.57735525952064,75.99
"NB","AveWatt","10-30",0.0877675599267973,0.642207001424406,76.99
"NB","AveWatt","10-31",0.10200933588438,0.715611651585999,77.93
"NB","AveWatt","11-01",0.117820431252311,0.772070080836966,78.68
"NB","AveWatt","11-02",0.134743141738996,0.809718975620435,79.43
"NB","AveWatt","11-03",0.152555539829043,0.833479581647866,80.18
"NB","AveWatt","11-04",0.17196526339468,0.855041478334183,80.99
"NB","AveWatt","11-05",0.191936970158839,0.873079287602797,81.81
"NB","AveWatt","11-06",0.213951282423717,0.895316486641678,82.24
"NB","AveWatt","11-07",0.237099628790449,0.913288798050352,83.12
"NB","AveWatt","11-08",0.259642498068114,0.925010464697795,83.81
"NB","AveWatt","11-09",0.284908831741518,0.93825115979928,84.24
"NB","AveWatt","11-10",0.31113323007562,0.949454666416779,85.12
"NB","AveWatt","11-11",0.339269860169942,0.958068795510258,85.68
"NB","AveWatt","11-12",0.368094417587128,0.963423285901431,86.43
"NB","AveWatt","11-13",0.399263904719221,0.968799255185407,87.06
"NB","AveWatt","11-14",0.434497045943714,0.974710796480983,87.49
"NB","AveWatt","11-15",0.469776870242199,0.97932695871945,88.25
"NB","AveWatt","11-16",0.50448527807308,0.982632977750278,88.49
"NB","AveWatt","11-17",0.539799054495623,0.984899680424736,89.25
"NB","AveWatt","11-18",0.575510448065324,0.986809279235078,89.37
"NB","AveWatt","11-19",0.608765797596354,0.9883295281335,89.87
"NB","AveWatt","11-20",0.640266805597639,0.989787997149062,90.31
"NB","AveWatt","11-21",0.672234832810622,0.991090971162314,90.62
"NB","AveWatt","11-22",0.703041755101945,0.992153736407464,91.12
"NB","AveWatt","11-23",0.737445227251788,0.993298757612084,91.56
"NB","AveWatt","11-24",0.770871556277656,0.994140705720672,91.87
"NB","AveWatt","11-25",0.805721637335197,0.994980243145493,92.37
"NB","AveWatt","11-26",0.840968031905054,0.995715127799028,92.62
"NB","AveWatt","11-27",0.871560827400623,0.996271052557819,92.81
"NB","AveWatt","11-28",0.894449360179977,0.996651857323106,93.12
"NB","AveWatt","11-29",0.913429522555962,0.996901734373226,93.43
"NB","AveWatt","11-30",0.929927838148921,0.997157884019617,94
"NB","AveWatt","12-01",0.947827123199796,0.997373051767782,94
"NB","AveWatt","12-02",0.959791699728657,0.997477953459235,94
"NB","AveWatt","12-03",0.972281507841702,0.997565484123093,94.24
"NB","AveWatt","12-04",0.982795324700781,0.997645535181268,94.24
"NB","AveWatt","12-05",0.988505201036175,0.997628241370042,95
"NB","AveWatt","12-06",0.993638618281517,0.99765415729182,95
"NB","AveWatt","12-07",0.997370773906889,0.997672441000352,95
"NB","AveWatt","12-08",1,0.9976645510986,95
"NB","AveWatt","12-09",1,0.997608693183859,95
"NB","AveWatt","12-10",1,0.997540013563869,95
"NB","AveWatt","12-11",1,0.99747591443681,95
"NB","AveWatt","12-12",1,0.997401141601882,95
"NB","AveWatt","12-13",1,0.99729718616795,95
"NB","AveWatt","12-14",1,0.997190100473434,95
"NB","AveWatt","12-15",1,0.99706647270566,95
"NB","AveWatt","12-16",1,0.996915322374811,95
"NB","AveWatt","12-17",1,0.996728169703313,95
"NB","AveWatt","12-18",1,0.9964491870688,95
"NB","AveWatt","12-19",1,0.996147539380346,95
"NB","AveWatt","12-20",0.995075084030599,0.995729013683649,95
"NB","AveWatt","12-21",0.98651960213338,0.995225880807105,95
"NB","AveWatt","12-22",0.98651960213338,0.99526143407188,94
"NB","AveWatt","12-23",0.980363278820259,0.994809668293436,94
"NB","AveWatt","12-24",0.973826728721311,0.994346921225714,94
"NB","AveWatt","12-25",0.966504582562536,0.99386386280424,94
"NB","AveWatt","12-26",0.962172070314185,0.993446212255319,94
"NB","AveWatt","12-27",0.95517589266471,0.992964051528276,94
"NB","AveWatt","12-28",0.95517589266471,0.992981971391394,93
"NB","AveWatt","12-29",0.946639684731305,0.992460926830712,93
"NB","AveWatt","12-30",0.936586947290039,0.991896973490404,93
"NB","AveWatt","12-31",0.927508118286633,0.991358983810315,93
"PB1","AveHazel","01-01",1,0.996517688290935,96
"PB1","AveHazel","01-02",1,0.996326461074458,96
"PB1","AveHazel","01-03",1,0.996129404183457,96
"PB1","AveHazel","01-04",1,0.995884767683873,96
"PB1","AveHazel","01-05",1,0.995579743132733,96
"PB1","AveHazel","01-06",1,0.995594273522854,95
"PB1","AveHazel","01-07",1,0.995268863882918,95
"PB1","AveHazel","01-08",1,0.994957877554709,95
"PB1","AveHazel","01-09",0.998994672347476,0.994602297723686,95
"PB1","AveHazel","01-10",0.992196027022705,0.994128843691987,95
"PB1","AveHazel","01-11",0.992196027022705,0.994145772215639,94
"PB1","AveHazel","01-12",0.985286905193581,0.993669801632536,94
"PB1","AveHazel","01-13",0.978775244666247,0.993201553634576,94
"PB1","AveHazel","01-14",0.973581581020256,0.992762678556836,94
"PB1","AveHazel","01-15",0.973581581020256,0.992780162289113,93
"PB1","AveHazel","01-16",0.962694579646119,0.992194436010764,93
"PB1","AveHazel","01-17",0.951132414274785,0.991586295670841,93
"PB1","AveHazel","01-18",0.93430377202828,0.990782237097211,93
"PB1","AveHazel","01-19",0.93430377202828,0.990803351601057,92
"PB1","AveHazel","01-20",0.918725566972048,0.99004106121688,92
"PB1","AveHazel","01-21",0.899180422167193,0.989083381223357,92
"PB1","AveHazel","01-22",0.878128076849471,0.988018799637207,92
"PB1","AveHazel","01-23",0.878128076849471,0.988021976701213,91
"PB1","AveHazel","01-24",0.860225837399841,0.987108361701582,91
"PB1","AveHazel","01-25",0.842226971050551,0.98617214076893,91
"PB1","AveHazel","01-26",0.842226971050551,0.986201527000832,90
"PB1","AveHazel","01-27",0.822311030755386,0.985135015296335,90
"PB1","AveHazel","01-28",0.804304120030459,0.984161525068297,90
"PB1","AveHazel","01-29",0.785775888838566,0.983135156660571,90
"PB1","AveHazel","01-30",0.785775888838566,0.983176677415147,89
"PB1","AveHazel","01-31",0.762081335685284,0.981715397624647,89
"PB1","AveHazel","10-01",0.00100735871818108,0.00738388080197097,57.75
"PB1","AveHazel","10-02",0.00111090159219657,0.0115539599453678,57.81
"PB1","AveHazel","10-03",0.00122047021946145,0.0177994741214845,58.06
"PB1","AveHazel","10-04",0.00135965771388015,0.0262239121050232,58.37
"PB1","AveHazel","10-05",0.00152843542948587,0.0341586198730801,58.87
"PB1","AveHazel","10-06",0.00173839012919578,0.0419804236990311,59.31
"PB1","AveHazel","10-07",0.00199215034682213,0.0515357421280815,59.62
"PB1","AveHazel","10-08",0.00228474121672896,0.0627845131762256,60.12
"PB1","AveHazel","10-09",0.00263386407065779,0.0752713105392886,60.56
"PB1","AveHazel","10-10",0.00305223805147384,0.0894756036840247,60.87
"PB1","AveHazel","10-11",0.00354170937725438,0.104398776351754,61.37
"PB1","AveHazel","10-12",0.00411406133949498,0.119369213498006,61.87
"PB1","AveHazel","10-13",0.00477570093795799,0.135668521848769,62.37
"PB1","AveHazel","10-14",0.00553599228189811,0.154693718436816,62.93
"PB1","AveHazel","10-15",0.0064118873193281,0.175149574545602,63.62
"PB1","AveHazel","10-16",0.00741925212775255,0.196511984060234,64.18
"PB1","AveHazel","10-17",0.00856858398374426,0.218535902316825,64.87
"PB1","AveHazel","10-18",0.00990851739670378,0.24323757812192,65.37
"PB1","AveHazel","10-19",0.0115492742980348,0.279160177703033,65.93
"PB1","AveHazel","10-20",0.0134182757311881,0.316463247151149,66.68
"PB1","AveHazel","10-21",0.0155447573238375,0.355569665099264,67.43
"PB1","AveHazel","10-22",0.0180206970908716,0.398313761030668,68.18
"PB1","AveHazel","10-23",0.020905364890786,0.444397780410184,68.87
"PB1","AveHazel","10-24",0.0242581165450539,0.493159696329272,69.49
"PB1","AveHazel","10-25",0.0281060452140879,0.543343812210156,70.43
"PB1","AveHazel","10-26",0.0325289263856116,0.598396566304518,71.24
"PB1","AveHazel","10-27",0.0375010045230923,0.651044424429561,72.18
"PB1","AveHazel","10-28",0.0426959334826797,0.683464350266221,72.87
"PB1","AveHazel","10-29",0.0482593904559366,0.709206140606562,73.43
"PB1","AveHazel","10-30",0.0545310601740644,0.73520766349776,74.43
"PB1","AveHazel","10-31",0.0615509176965007,0.76167178864891,75.18
"PB1","AveHazel","11-01",0.0692790543774804,0.785260080185549,75.93
"PB1","AveHazel","11-02",0.0778522477207538,0.80595214983653,76.68
"PB1","AveHazel","11-03",0.0869938319881531,0.821926028269891,77.43
"PB1","AveHazel","11-04",0.0969505075586965,0.837015577698313,78.12
"PB1","AveHazel","11-05",0.107320184731516,0.850158747190126,78.87
"PB1","AveHazel","11-06",0.118655927626907,0.861384197934346,79.49
"PB1","AveHazel","11-07",0.131188998201879,0.872579893403355,80.37
"PB1","AveHazel","11-08",0.14480921364763,0.88369538041418,80.87
"PB1","AveHazel","11-09",0.159804629037349,0.89593722584712,81.68
"PB1","AveHazel","11-10",0.175781262200111,0.907050541692382,82.49
"PB1","AveHazel","11-11",0.192945222630703,0.916049334908299,83.31
"PB1","AveHazel","11-12",0.211232339323288,0.92339393746749,83.68
"PB1","AveHazel","11-13",0.231043611589485,0.930337002269456,84.49
"PB1","AveHazel","11-14",0.253676761859581,0.938125172404306,85.31
"PB1","AveHazel","11-15",0.278881979938095,0.946368725499891,85.74
"PB1","AveHazel","11-16",0.305989306918013,0.953410219683616,86.62
"PB1","AveHazel","11-17",0.334389935281515,0.958796416504757,87.31
"PB1","AveHazel","11-18",0.364712197637864,0.963631322640775,87.74
"PB1","AveHazel","11-19",0.396014145399877,0.967835812828474,88.5
"PB1","AveHazel","11-20",0.42851053339649,0.971683507936598,88.93
"PB1","AveHazel","11-21",0.463119334255769,0.97532231121562,89.62
"PB1","AveHazel","11-22",0.49870370607497,0.978473990235899,90.12
"PB1","AveHazel","11-23",0.537398025944464,0.981732098315849,90.62
"PB1","AveHazel","11-24",0.577399648539152,0.984505974376218,91.18
"PB1","AveHazel","11-25",0.619303604476191,0.987107523356344,91.81
"PB1","AveHazel","11-26",0.664555068724331,0.989627306000657,92.24
"PB1","AveHazel","11-27",0.711646705833487,0.991902765448753,93
"PB1","AveHazel","11-28",0.756505558619738,0.993554620956823,93.24
"PB1","AveHazel","11-29",0.800613039946011,0.994855119256614,94
"PB1","AveHazel","11-30",0.84498632422906,0.996092857892917,94.24
"PB1","AveHazel","12-01",0.886166466863209,0.997075631866914,95
"PB1","AveHazel","12-02",0.907155087160664,0.997309337646578,95
"PB1","AveHazel","12-03",0.927004577736775,0.997525622532196,95
"PB1","AveHazel","12-04",0.945344343268974,0.997698371557283,95.24
"PB1","AveHazel","12-05",0.960430923639266,0.997819118146477,96
"PB1","AveHazel","12-06",0.972793610334747,0.997944024780986,96
"PB1","AveHazel","12-07",0.983729102117944,0.998041374979302,96
"PB1","AveHazel","12-08",0.992338420424106,0.998124667734558,96
"PB1","AveHazel","12-09",0.997958527720373,0.998187804689069,96.24
"PB1","AveHazel","12-10",1,0.998195701130589,97
"PB1","AveHazel","12-11",1,0.998219412570317,97
"PB1","AveHazel","12-12",1,0.998232220700357,97
"PB1","AveHazel","12-13",1,0.998245411432577,97
"PB1","AveHazel","12-14",1,0.998247341319334,97
"PB1","AveHazel","12-15",1,0.998228082963836,97
"PB1","AveHazel","12-16",1,0.998192104304713,97
"PB1","AveHazel","12-17",1,0.998154237746418,97
"PB1","AveHazel","12-18",1,0.9980892061423,97
"PB1","AveHazel","12-19",1,0.99801637973367,97
"PB1","AveHazel","12-20",1,0.997935333808751,97
"PB1","AveHazel","12-21",1,0.997839699990265,97
"PB1","AveHazel","12-22",1,0.997749119166854,97
"PB1","AveHazel","12-23",1,0.997646057196056,97
"PB1","AveHazel","12-24",1,0.997544033257189,97
"PB1","AveHazel","12-25",1,0.997433772667543,97
"PB1","AveHazel","12-26",1,0.997291782380615,97
"PB1","AveHazel","12-27",1,0.997143360729872,97
"PB1","AveHazel","12-28",1,0.99697416282132,97
"PB1","AveHazel","12-29",1,0.99683553517848,97
"PB1","AveHazel","12-30",1,0.996675372549,97
"PB1","AveHazel","12-31",1,0.996691892002207,96
"PB1","AveWatt","01-01",0.912048921513719,0.990595006928999,93
"PB1","AveWatt","01-02",0.912048921513719,0.990614763905444,92
"PB1","AveWatt","01-03",0.894486136705489,0.989749494302524,92
"PB1","AveWatt","01-04",0.87677814304728,0.98886273125837,92
"PB1","AveWatt","01-05",0.864288593155026,0.988191551647523,92
"PB1","AveWatt","01-06",0.864288593155026,0.988213965094789,91
"PB1","AveWatt","01-07",0.84579266675856,0.987253341140474,91
"PB1","AveWatt","01-08",0.825226774255582,0.986141755413873,91
"PB1","AveWatt","01-09",0.797908604174974,0.984419722027262,91
"PB1","AveWatt","01-10",0.797908604174974,0.984441881618941,90
"PB1","AveWatt","01-11",0.773901976712948,0.982966259675748,90
"PB1","AveWatt","01-12",0.747539896872758,0.981171194338971,90
"PB1","AveWatt","01-13",0.747539896872758,0.981199226209418,89
"PB1","AveWatt","01-14",0.726196964340437,0.979837785125471,89
"PB1","AveWatt","01-15",0.703353940813177,0.978244132933989,89
"PB1","AveWatt","01-16",0.680289161607601,0.976567144160677,89
"PB1","AveWatt","01-17",0.680289161607601,0.976594808047903,88
"PB1","AveWatt","01-18",0.658156416459429,0.97494360687268,88
"PB1","AveWatt","01-19",0.633888703101849,0.972896744582028,88
"PB1","AveWatt","01-20",0.633888703101849,0.972929866010632,87
"PB1","AveWatt","01-21",0.60806060275534,0.970456480004727,87
"PB1","AveWatt","01-22",0.57921554046851,0.966992358546541,87
"PB1","AveWatt","01-23",0.549713515117855,0.962878228375292,87
"PB1","AveWatt","01-24",0.549713515117855,0.962922549301109,86
"PB1","AveWatt","01-25",0.519372879258843,0.957852865310273,86
"PB1","AveWatt","01-26",0.489912282868152,0.952404053069012,86
"PB1","AveWatt","01-27",0.489912282868152,0.952407912805215,85
"PB1","AveWatt","01-28",0.460748240233976,0.946157228251404,85
"PB1","AveWatt","01-29",0.431247150386737,0.938353653376851,85
"PB1","AveWatt","01-30",0.431247150386737,0.938429088733987,84
"PB1","AveWatt","01-31",0.40571119946716,0.932383649713879,84
"PB1","AveWatt","10-01",0.00137495013588768,0.00106592725692399,58.18
"PB1","AveWatt","10-02",0.00157763424083721,0.00217494056544037,58.81
"PB1","AveWatt","10-03",0.00182281325111328,0.00401820084267324,59.18
"PB1","AveWatt","10-04",0.00211783800721009,0.00709036479150372,59.75
"PB1","AveWatt","10-05",0.00248437860338761,0.0111523460133144,59.99
"PB1","AveWatt","10-06",0.00291458215349099,0.0177173579269308,60.75
"PB1","AveWatt","10-07",0.00344298218069896,0.027448235167112,60.99
"PB1","AveWatt","10-08",0.00407242920106378,0.0425265479687286,61.81
"PB1","AveWatt","10-09",0.00481786549165195,0.0597870532111898,62.18
"PB1","AveWatt","10-10",0.00568107045602105,0.0762542230017717,62.99
"PB1","AveWatt","10-11",0.00668071807231701,0.0915131342872384,63.75
"PB1","AveWatt","10-12",0.00784392144366395,0.108279018771394,63.99
"PB1","AveWatt","10-13",0.00917357059921086,0.125106024832827,64.93
"PB1","AveWatt","10-14",0.0106994403958374,0.143200966161729,65.56
"PB1","AveWatt","10-15",0.0125117773291698,0.164075740014365,65.99
"PB1","AveWatt","10-16",0.0146322657233091,0.188861334335414,66.93
"PB1","AveWatt","10-17",0.0170901518543212,0.21588305201287,67.56
"PB1","AveWatt","10-18",0.0200405862375937,0.253226477957515,67.99
"PB1","AveWatt","10-19",0.0236916754916369,0.318327093078214,68.99
"PB1","AveWatt","10-20",0.0276467966036245,0.371451299496201,69.93
"PB1","AveWatt","10-21",0.0319170491314902,0.411447685007644,70.68
"PB1","AveWatt","10-22",0.0368496917510513,0.455191578624542,71.43
"PB1","AveWatt","10-23",0.042674437126289,0.496263037120241,72.24
"PB1","AveWatt","10-24",0.0494917628759949,0.544190483617735,73.18
"PB1","AveWatt","10-25",0.0572881958059692,0.593554755240903,73.93
