"scenario","site","md","S_martin","S_wf","inc_days"
"NB","AveHazel","01-01",1,0.996517688290934,96
"NB","AveHazel","01-02",1,0.996326461074504,96
"NB","AveHazel","01-03",1,0.996129404183448,96
"NB","AveHazel","01-04",1,0.995884767683846,96
"NB","AveHazel","01-05",1,0.995579743132794,96
"NB","AveHazel","01-06",1,0.995594273522858,95
"NB","AveHazel","01-07",1,0.995268863882944,95
"NB","AveHazel","01-08",1,0.994957877554709,95
"NB","AveHazel","01-09",0.998994672347449,0.994602297723648,95
"NB","AveHazel","01-10",0.992196027022693,0.994128843691998,95
"NB","AveHazel","01-11",0.992196027022693,0.994145772215667,94
"NB","AveHazel","01-12",0.985286905193582,0.993669801632562,94
"NB","AveHazel","01-13",0.978775244666224,0.993201553634641,94
"NB","AveHazel","01-14",0.973581581020256,0.992762678556885,94
"NB","AveHazel","01-15",0.973581581020256,0.99278016228915,93
"NB","AveHazel","01-16",0.962694579646075,0.992194436010711,93
"NB","AveHazel","01-17",0.951132414274749,0.991586295670868,93
"NB","AveHazel","01-18",0.934303772028261,0.990782237097212,93
"NB","AveHazel","01-19",0.934303772028261,0.99080335160105,92
"NB","AveHazel","01-20",0.91872556697201,0.990041061216866,92
"NB","AveHazel","01-21",0.899180422167183,0.989083381223316,92
"NB","AveHazel","01-22",0.878128076849475,0.988018799637207,92
"NB","AveHazel","01-23",0.878128076849475,0.988021976701218,91
"NB","AveHazel","01-24",0.860225837399809,0.9871083617016,91
"NB","AveHazel","01-25",0.842226971050539,0.986172140768936,91
"NB","AveHazel","01-26",0.842226971050539,0.986201527000863,90
"NB","AveHazel","01-27",0.822311030755347,0.985135015296342,90
"NB","AveHazel","01-28",0.804304120030419,0.984161525068292,90
"NB","AveHazel","01-29",0.785775888838532,0.983135156660557,90
"NB","AveHazel","01-30",0.785775888838532,0.983176677415122,89
"NB","AveHazel","01-31",0.762081335685271,0.981715397624621,89
"NB","AveHazel","10-01",0.00082377132747737,0.000528749861057258,56.81
"NB","AveHazel","10-02",0.000898690684554856,0.00107955343238568,57.12
"NB","AveHazel","10-03",0.00098164359850772,0.00218909988693417,57.5
"NB","AveHazel","10-04",0.00109296057393748,0.00413910490577728,57.62
"NB","AveHazel","10-05",0.00122135759439398,0.00663808993011443,58.12
"NB","AveHazel","10-06",0.00138309464954707,0.00949748154012728,58.56
"NB","AveHazel","10-07",0.00158056187044983,0.0132533207664014,58.87
"NB","AveHazel","10-08",0.0018096216240429,0.0180921530079362,59.31
"NB","AveHazel","10-09",0.00208180012313193,0.0241571327400819,59.62
"NB","AveHazel","10-10",0.00240145942993343,0.0316200301411365,60.12
"NB","AveHazel","10-11",0.00278426437328924,0.0388651176693811,60.62
"NB","AveHazel","10-12",0.00323324993193017,0.0472596623299051,61.12
"NB","AveHazel","10-13",0.0037532339599165,0.0552124416399191,61.62
"NB","AveHazel","10-14",0.00435074861348832,0.0637867091220431,62.12
"NB","AveHazel","10-15",0.00503911646618929,0.0728069700496512,62.68
"NB","AveHazel","10-16",0.00583080670352244,0.082985825645074,63.37
"NB","AveHazel","10-17",0.00673406915842951,0.093363327899125,63.93
"NB","AveHazel","10-18",0.00781517217618112,0.107556133183807,64.62
"NB","AveHazel","10-19",0.00921832879553428,0.132998081039377,65.18
"NB","AveHazel","10-20",0.0108001516635217,0.157715584953512,65.93
"NB","AveHazel","10-21",0.0126290797830551,0.187230716688968,66.68
"NB","AveHazel","10-22",0.014796799889927,0.222610083757578,67.43
"NB","AveHazel","10-23",0.0173578253567684,0.264468942557792,68.24
"NB","AveHazel","10-24",0.0203775080348132,0.314633062430166,69.18
"NB","AveHazel","10-25",0.0238937410805213,0.368050979150921,69.87
"NB","AveHazel","10-26",0.0279795667207177,0.424898002236901,70.68
"NB","AveHazel","10-27",0.032644447821582,0.483210962379042,71.43
"NB","AveHazel","10-28",0.0377622257048644,0.527341738338637,72.24
"NB","AveHazel","10-29",0.0435774791324873,0.570998803529465,73.24
"NB","AveHazel","10-30",0.0502646418634753,0.619291287126796,74.18
"NB","AveHazel","10-31",0.0578920340310257,0.667402441574814,74.93
"NB","AveHazel","11-01",0.0664773900842405,0.710458750670389,75.74
"NB","AveHazel","11-02",0.0761549613927676,0.750092598137158,76.62
"NB","AveHazel","11-03",0.0865975818035707,0.779209706075203,77.43
"NB","AveHazel","11-04",0.0981665804292135,0.806387241236029,78.18
"NB","AveHazel","11-05",0.110416465089121,0.829053885283654,79.06
"NB","AveHazel","11-06",0.123834080875014,0.850574065983544,79.87
"NB","AveHazel","11-07",0.138067416223664,0.867141804083841,80.49
"NB","AveHazel","11-08",0.153026726706187,0.880881450681824,81.31
"NB","AveHazel","11-09",0.169517476923571,0.896046976163232,81.87
"NB","AveHazel","11-10",0.186967981059665,0.909591906329178,82.49
"NB","AveHazel","11-11",0.205918140476578,0.920692868510813,83.37
"NB","AveHazel","11-12",0.226275017215151,0.929832703347554,84.31
"NB","AveHazel","11-13",0.248414439682804,0.938574234980137,84.68
"NB","AveHazel","11-14",0.273465471751584,0.947785599313277,85.49
"NB","AveHazel","11-15",0.300176755250396,0.955727604983325,86.31
"NB","AveHazel","11-16",0.327944796606231,0.961594474047072,86.74
"NB","AveHazel","11-17",0.356862570280499,0.966027069478943,87.56
"NB","AveHazel","11-18",0.387723860243391,0.970086620606283,87.93
"NB","AveHazel","11-19",0.419114769080994,0.973540092814687,88.74
"NB","AveHazel","11-20",0.451069710932156,0.97660820928534,89.5
"NB","AveHazel","11-21",0.484734203317081,0.979510575789423,89.74
"NB","AveHazel","11-22",0.519339812941665,0.98203175954941,90.5
"NB","AveHazel","11-23",0.556750347576974,0.984634003645121,90.74
"NB","AveHazel","11-24",0.594773046737316,0.986787276403156,91.56
