"cohort","redd_share_a","redd_share_b","d_total","d_survival","d_composition","comparison"
"Oct 1-15",0.0168602863123642,0.0165628286275521,-0.000293755382027337,8.69085912614891e-06,-0.000302446241153486,"PB6 - PB4"
"Oct 16-31",0.0721237313862241,0.0694334212980416,5.28608138303358e-05,-0.000165505536937766,0.000218366350768102,"PB6 - PB4"
"Nov 1-15",0.260399408724293,0.252460366277109,-0.00185933320370899,-0.00372493983736883,0.00186560663365983,"PB6 - PB4"
"Nov 16-30",0.357386978045417,0.356904402865136,-0.010578533948313,-0.0101314846258364,-0.000447049322476609,"PB6 - PB4"
"Dec 1-15",0.222938719630155,0.230741185340979,-0.00759556663776335,1.46427189191898e-16,-0.0075955666377635,"PB6 - PB4"
"Dec 16 - Jan",0.0702908759015466,0.0738977955911824,-0.00357123989757252,1.83007801345419e-17,-0.00357123989757254,"PB6 - PB4"
"Oct 1-15",0.0168505327486656,0.0165527435788053,0.000115986825944504,4.3546325177159e-05,7.24405007673448e-05,"PB6 - NB"
"Oct 16-31",0.0721244469136292,0.0698866060179168,0.00249381092309635,0.00236264635010275,0.0001311645729936,"PB6 - NB"
"Nov 1-15",0.260401992103018,0.256651851704878,0.00455934690815854,0.00377258859589202,0.000786758312266516,"PB6 - NB"
"Nov 16-30",0.3573905236215,0.35858242641296,-0.0206644190010474,-0.0195850102212597,-0.00107940877978772,"PB6 - NB"
"Dec 1-15",0.222940931367686,0.226792924532981,-0.00378084132730196,-6.50884660003659e-16,-0.00378084132730131,"PB6 - NB"
"Dec 16 - Jan",0.0702915732455009,0.0715334477524579,-0.00122558839684741,-5.57900536070817e-18,-0.0012255883968474,"PB6 - NB"
"Oct 1-15",0.0165579503459907,0.0165600609128495,0.000409025820366562,3.29804632219643e-05,0.000376045357144598,"PB4 - NB"
"Oct 16-31",0.0694337657183958,0.0698860860269991,0.00244094464932746,0.0024774947454204,-3.65500960929485e-05,"PB4 - NB"
"Nov 1-15",0.252461618591731,0.25664994208815,0.00641881841882577,0.00740019213221512,-0.000981373713389353,"PB4 - NB"
"Nov 16-30",0.356906173268186,0.358579758382337,-0.0100851399734508,-0.00939062056021028,-0.000694519413240548,"PB4 - NB"
"Dec 1-15",0.230742329918897,0.226791237081441,0.00381532826347631,-8.1147122901512e-16,0.00381532826347712,"PB4 - NB"
"Dec 16 - Jan",0.0738981621567995,0.071532915508223,0.00234585116064171,-2.50726087998289e-17,0.00234585116064173,"PB4 - NB"
