arm,scenario,n_seed,adult_mean,adult_sd,adult_lo,adult_hi,comp_mean,comp_sd
fixed,NB,5,7528.344034649955,188.00441290807865,7314.257282077959,7728.08114037368,0.5,0
fixed,PB1,5,8446.953289722907,204.12906830441588,8262.94665752415,8714.823707198242,0.5577315736628577,0.004469747345006868
fixed,PB2,5,10575.624211258728,215.6876255715919,10355.336202229253,10839.55990018449,0.5144900541775322,0.002029952140228078
fixed,PB2b,5,11141.445980576955,217.1558423812809,10937.704859070418,11403.300682531622,0.4674327932555318,0.0024963703094924737
fixed,PB2c,5,11395.865962918517,217.33735921274487,11161.943065584976,11638.8660166675,0.5017212129592206,0
fixed,PB3,5,9059.136283163596,188.94046483066387,8837.197510770871,9290.257330918204,0.50645484011579045,0.0027815495442634363
fixed,PB4,5,9550.113316698025,188.28166968927255,9330.082766354682,9767.303337008912,0.5146575995754786,0.0030031349762866012
fixed,PB5,5,9319.688440964681,172.55128343465063,9151.31277646299,9514.959557702696,0.47946984044955876,0.0035408757818430844
fixed,PB6,5,9198.59736589386,178.8963944698228,9002.329788262297,9412.106417770516,0.40175960237579744,0.002677890439625699
legacy,NB,5,7594.927824618366,14.693047766599847,7571.824459309842,7611.863123662555,0.5,0
legacy,PB1,5,8559.502811426592,16.776668209508646,8535.692470546146,8582.740685912799,0.5735227116859838,2.1916767640100415e-4
legacy,PB2,5,10505.594683077603,19.591293628119868,10478.943209609048,10533.434812397574,0.5336287065540429,1.957435926947726e-4
legacy,PB2b,5,10975.174004889039,21.29651052225617,10947.210463810727,11004.354726484173,0.4819814166239821,3.581901051823386e-4
legacy,PB2c,5,11077.640146177764,19.857871015979054,11052.15543451671,11106.306557522103,0.5017212129592206,0
legacy,PB3,5,9118.166184331434,17.732620113404337,9094.516456559835,9143.342521030236,0.5230720711654546,2.6950575096266723e-4
legacy,PB4,5,9546.440797023775,18.492075973337556,9521.927143819717,9572.514956654033,0.5296753927691493,2.1053136207214697e-4
legacy,PB5,5,9074.811567341894,17.273943118781517,9050.987986579054,9097.803579616228,0.4641513376992847,3.492214787435202e-4
legacy,PB6,5,9352.07930175761,17.475180449959513,9326.700421913287,9374.193952924992,0.4308148457011871,2.1520324896739712e-4
