"scenario","exp_SM","exp_WF","lin_Martin","model_averaged"
"PB2c",10627.9135701469,17020.3083019003,171.101714314835,11273.8319193831
"PB2b",9610.90491105835,16990.0667682834,82.8488000343071,10992.2634304871
"PB2",8198.30083619533,16602.3966215711,32.8427354513147,10443.025161551
"PB4",6171.45980059504,15573.0967527449,13.0668780983093,9426.6964155673
"PB5",6296.26225685448,15053.0467298923,23.598957240171,9194.05651320018
"PB6",4940.9622076069,15499.247035415,3.4973669745767,9091.32125963097
"PB3",5116.0989567343,15146.3185080052,5.05628631945213,8953.75026027875
"PB1",4246.59106865138,14285.222121456,4.65772807507307,8305.80957043764
"NB",3617.3771157643,12827.5467136572,7.97320350601142,7412.2126326251
