"cohort","redd_share","S_a","S_b","contrib","share_of_gap","comparison","weighting"
"Oct 1-15",0.0138792505204719,0.566546861454514,0.566433007974747,1.5802009683236e-06,-0.000209051085261438,"PB6 - PB4","observed"
"Oct 16-31",0.0862496282343611,0.0508814823224173,0.0530070733782241,-0.00018333143834162,0.0242536467931131,"PB6 - PB4","observed"
"Nov 1-15",0.250024784375929,0.169342747455173,0.184110690478989,-0.00369235177020575,0.488475934518242,"PB6 - PB4","observed"
"Nov 16-30",0.35530881332408,0.533869349506888,0.544240101461725,-0.00368481957035146,0.487479469773878,"PB6 - PB4","observed"
"Dec 1-15",0.230395558639833,0.958875554282549,0.95887555428255,-2.1555078531039e-16,2.8516072639733e-14,"PB6 - PB4","observed"
"Dec 16 - Jan",0.0641419649053237,0.999840604926527,0.999840604926527,1.4528545578519e-18,-1.92203920978593e-16,"PB6 - PB4","observed"
"Oct 1-15",0.0138792505204719,0.566546861454514,0.565285024363325,1.75133531046436e-05,-0.000920958722001737,"PB6 - NB","observed"
"Oct 16-31",0.0862496282343611,0.0508814823224173,0.0384650297086227,0.00107091442192935,-0.0563151996936429,"PB6 - NB","observed"
"Nov 1-15",0.250024784375929,0.169342747455173,0.189032089520266,-0.0049228235043289,0.258872028451523,"PB6 - NB","observed"
"Nov 16-30",0.35530881332408,0.533869349506888,0.576598491746321,-0.015182040823449,0.798364129964038,"PB6 - NB","observed"
"Dec 1-15",0.230395558639833,0.958875554282549,0.958875554282556,-1.60254260320633e-15,8.42714458495626e-14,"PB6 - NB","observed"
"Dec 16 - Jan",0.0641419649053237,0.999840604926527,0.999840604926527,9.02530861695874e-19,-4.74605670306603e-17,"PB6 - NB","observed"
"Oct 1-15",0.0138792505204719,0.566433007974747,0.565285024363325,1.593315213632e-05,-0.00139062908160909,"PB4 - NB","observed"
"Oct 16-31",0.0862496282343611,0.0530070733782241,0.0384650297086227,0.00125424586027097,-0.109469284787955,"PB4 - NB","observed"
"Nov 1-15",0.250024784375929,0.184110690478989,0.189032089520266,-0.00123047173412316,0.107394303583475,"PB4 - NB","observed"
"Nov 16-30",0.35530881332408,0.544240101461725,0.576598491746321,-0.0114972212530975,1.00346561028597,"PB4 - NB","observed"
"Dec 1-15",0.230395558639833,0.95887555428255,0.958875554282556,-1.38699181789594e-15,1.2105521502699e-13,"PB4 - NB","observed"
"Dec 16 - Jan",0.0641419649053237,0.999840604926527,0.999840604926527,-5.50323696156021e-19,4.80316844793479e-17,"PB4 - NB","observed"
"Oct 1-15",0.0148743665955246,0.637355780039421,0.637250047333639,1.57270702694383e-06,-0.000212130482223959,"PB6 - PB4","simulated"
"Oct 16-31",0.0821756379872468,0.0511766522255469,0.0533593194448942,-0.000179362071263712,0.0241927848086217,"PB6 - PB4","simulated"
"Nov 1-15",0.265800741099603,0.16686467310273,0.181025407422679,-0.00376393367675697,0.507688369308705,"PB6 - PB4","simulated"
"Nov 16-30",0.337147944954369,0.535833334544137,0.546131909044467,-0.00347214322874571,0.46833097636486,"PB6 - PB4","simulated"
"Dec 1-15",0.228431513754861,0.96186943014601,0.961869430146011,-2.72387178302787e-16,3.6740233555946e-14,"PB6 - PB4","simulated"
"Dec 16 - Jan",0.0715697956083956,0.999869532663686,0.999869532663686,1.23272507938949e-18,-1.66272904654478e-16,"PB6 - PB4","simulated"
"Oct 1-15",0.0148743665955246,0.637355780039421,0.636253015959533,1.64029171926387e-05,-0.000901199808341731,"PB6 - NB","simulated"
"Oct 16-31",0.0821756379872468,0.0511766522255469,0.0384509301508809,0.00104574433033406,-0.0574546941256552,"PB6 - NB","simulated"
"Nov 1-15",0.265800741099603,0.16686467310273,0.185452407201566,-0.00494063349883293,0.271445494112057,"PB6 - NB","simulated"
"Nov 16-30",0.337147944954369,0.535833334544137,0.578315316477839,-0.0143227129065364,0.78691039982186,"PB6 - NB","simulated"
"Dec 1-15",0.228431513754861,0.96186943014601,0.961869430146017,-1.45833557419629e-15,8.0123049121618e-14,"PB6 - NB","simulated"
"Dec 16 - Jan",0.0715697956083956,0.999869532663686,0.999869532663686,6.541583558081e-19,-3.59403987690659e-17,"PB6 - NB","simulated"
"Oct 1-15",0.0148743665955246,0.637250047333639,0.636253015959533,1.48302101656949e-05,-0.00137478006097771,"PB4 - NB","simulated"
"Oct 16-31",0.0821756379872468,0.0533593194448942,0.0384509301508809,0.00122510640159777,-0.113568980794943,"PB4 - NB","simulated"
"Nov 1-15",0.265800741099603,0.181025407422679,0.185452407201566,-0.00117669982207596,0.109081626967641,"PB4 - NB","simulated"
"Nov 16-30",0.337147944954369,0.546131909044467,0.578315316477839,-0.0108505696777906,1.00586213388817,"PB4 - NB","simulated"
"Dec 1-15",0.228431513754861,0.961869430146011,0.961869430146017,-1.1859483958935e-15,1.09938981970354e-13,"PB4 - NB","simulated"
"Dec 16 - Jan",0.0715697956083956,0.999869532663686,0.999869532663686,-5.78566723581386e-19,5.36338990909791e-17,"PB4 - NB","simulated"
