arm,scenario,volume_Mm3,gain,adults_per_Mm3,rho_mean,rho_lo,rho_hi
fixed,PB1,12.2,918.6092550729527,75.29584057975022,0.9205101496312953,0.9205101496312953,0.9205101496312953
fixed,PB2,42.2,3047.280176608773,72.21043072532638,0.9205101496312953,0.9205101496312953,0.9205101496312953
fixed,PB2b,49.5,3613.101945927,72.99195850357576,0.9205101496312953,0.9205101496312953,0.9205101496312953
fixed,PB2c,45.9,3867.521928268562,84.25973699931508,0.9205101496312953,0.9205101496312953,0.9205101496312953
fixed,PB3,21.4,1530.7922485136414,71.53234806138512,0.9205101496312953,0.9205101496312953,0.9205101496312953
fixed,PB4,25.7,2021.7692820480706,78.66806544934127,0.9205101496312953,0.9205101496312953,0.9205101496312953
fixed,PB5,21.4,1791.3444063147263,83.70768253807132,0.9205101496312953,0.9205101496312953,0.9205101496312953
fixed,PB6,37.2,1670.2533312439054,44.899283097954445,0.9205101496312953,0.9205101496312953,0.9205101496312953
legacy,PB1,12.2,964.5749868082257,79.06352350887097,0.9623515200690814,0.9623515200690814,0.9623515200690814
legacy,PB2,42.2,2910.666858459237,68.97314830472125,0.9623515200690814,0.9623515200690814,0.9623515200690814
legacy,PB2b,49.5,3380.246180270673,68.28780162162975,0.9623515200690814,0.9623515200690814,0.9623515200690814
legacy,PB2c,45.9,3482.7123215593983,75.87608543702393,0.9623515200690814,0.9623515200690814,0.9623515200690814
legacy,PB3,21.4,1523.2383597130683,71.17936260341442,0.9623515200690814,0.9623515200690814,0.9623515200690814
legacy,PB4,25.7,1951.5129724054095,75.93435690293423,0.9623515200690814,0.9623515200690814,0.9623515200690814
legacy,PB5,21.4,1479.8837427235285,69.15344592166021,0.9623515200690814,0.9623515200690814,0.9623515200690814
legacy,PB6,37.2,1757.151477139245,47.23525476180765,0.9623515200690814,0.9623515200690814,0.9623515200690814
