window,variant,n,r2_cor,r2_nash,rmse,mae,mape_pct,bias
2014-2024 (fit years),TDM-weighted,11,0.13955999748571274,-0.6119328316115917,13415.499829371025,10526.550851847362,50.80002901842779,-1674.0008285727263
2014-2024 (fit years),exp_SM,11,0.12524000183092898,-0.6274520186182522,13479.925259796668,10643.130883866714,53.96049400708579,-316.88202985629124
2014-2024 (fit years),exp_WF,11,0.128463186303398,-0.6359649774533231,13515.135015108062,11026.66714626189,61.56733229105782,2526.961445142318
2014-2024 (fit years),lin_Martin,11,0.1460117778071557,-1.8129754758226326,17722.14805844985,13406.978880683897,50.31737656599443,-11546.797913719194
"2011-2024 (all years, incl. seed)",TDM-weighted,14,0.3087480810763918,0.22428015838390636,11891.569620024318,8270.861383594356,39.91430851447898,-1315.286365307142
"2011-2024 (all years, incl. seed)",exp_SM,14,0.2906044472344942,0.21681176947170766,11948.67666045894,8362.459980180989,42.39753100556741,-248.97873774422882
"2011-2024 (all years, incl. seed)",exp_WF,14,0.2799591026973355,0.21271502862139358,11979.886772785341,8663.809900634342,48.374332514402575,1985.4697068975358
"2011-2024 (all years, incl. seed)",lin_Martin,14,0.3378842470391634,-0.3537046009500713,15709.005265092364,10534.054834823062,39.53508158756705,-9072.484075065082
