arm,pair,metric,mean_diff,sd_diff,lo,hi,same_sign
fixed,PB3 - PB5,adult_index,-260.55215780108483,35.630827890536786,-314.11526569211856,-224.70222678449136,TRUE
legacy,PB3 - PB5,adult_index,43.354616989540226,4.378375749063108,35.74629931688651,46.304274994585285,TRUE
fixed,PB6 - PB4,adult_index,-351.5159508041659,21.051043531843753,-381.41264813454654,-327.7529780923851,TRUE
legacy,PB6 - PB4,adult_index,-194.3614952661632,2.768706988041731,-198.32100372904097,-191.2704611403824,TRUE
fixed,PB2b - PB5,adult_index,1821.7575396122727,46.710128908423656,1782.8579338636882,1888.3411248289267,TRUE
legacy,PB2b - PB5,adult_index,1900.3624375471434,5.678078637956461,1894.3199339157873,1906.5511468679451,TRUE
fixed,PB2b - PB5,composite,-0.012037047194026962,0.0032367873279716785,-0.014721290821568644,-0.007290190838486366,TRUE
legacy,PB2b - PB5,composite,0.0178300789246974,2.843442261987838e-4,0.01750378106353423,0.01828364488862555,TRUE
