"scenario","crossover","d_oct16_nov15","d_nov16_30","max_delta"
"PB1","11-14",-0.349735023041427,0.159385714285715,0.198964285714291
"PB2","11-22",-0.877690092165882,0.0324928571428329,0.209142857142794
"PB2b","11-24",-0.906608294930846,-0.132742857142806,0.271178571428715
"PB2c","11-27",-0.887332949308741,-0.242778571428541,0.229714285714252
"PB3","11-14",-0.675425115207351,0.271478571428602,0.349178571428531
"PB4","11-21",-0.70569470046082,0.172335714285717,0.42653571428578
"PB5","11-21",-0.54545737327188,0.130828571428571,0.382714285714322
"PB6","11-15",-0.866447004608297,0.408857142857198,0.495535714285861
