scenario,adult_index,composite,rank,volume_Mm3,gain_vs_NB,adults_per_Mm3
PB1,8305.809570437637,0.5553005399394491,1,12.2,893.5969378125346,73.2456506403717
PB4,9426.696415567301,0.5142058264215013,2,25.7,2014.4837829421986,78.38458299385987
PB2,10443.025161550959,0.5132719196997318,3,42.2,3030.812528925856,71.82020210724777
PB3,8953.75026027875,0.5078018757726083,4,21.4,1541.5376276536472,72.03446858194613
PB2c,11273.831919383101,0.5017212129592206,5,45.9,3861.6192867579985,84.13113914505443
NB,7412.212632625103,0.5,6,0,0,NA
PB5,9194.056513200181,0.47875170461412886,7,21.4,1781.8438805750784,83.2637327371532
PB2b,10992.263430487132,0.46458415344837284,8,49.5,3580.050797862029,72.32425854266725
PB6,9091.32125963097,0.4029287600966833,9,37.2,1679.1086270058668,45.1373286829534
