alternative,climate,variant,median_S,q25,q75,n
PB6,2017,exp_SM,3695.7935849435735,3599.848070935605,3790.873976171263,20
NB,2017,exp_WF,14004.322580577224,13978.625471464058,14022.757141571523,20
PB1,2017,exp_WF,14849.320451498621,14826.54023845132,14884.798161868914,20
PB2,2017,exp_WF,16164.352761268428,16143.033764103002,16188.950770792388,20
PB2b,2017,exp_WF,16719.727862380772,16700.664296205166,16746.24378149915,20
PB2c,2017,exp_WF,16742.365729686542,16712.193320050006,16761.135082225912,20
PB3,2017,exp_WF,15126.035955290183,15110.287573394344,15140.913380733718,20
PB4,2017,exp_WF,15200.782911901359,15184.364550405657,15222.146236801442,20
PB5,2017,exp_WF,14468.977557007653,14446.867357401847,14493.443337555378,20
PB6,2017,exp_WF,15690.861529760794,15681.142284002803,15716.760443411255,20
NB,2017,lin_Martin,1.6273768247381333,0.8271991488770957,2.4421401428317333,20
PB1,2017,lin_Martin,1.2609506631217036,0,1.920442900592448,20
PB2,2017,lin_Martin,2.629312906040582,1.7823107797360869,3.853297940728905,20
PB2b,2017,lin_Martin,7.6051569772387,5.466064476283429,10.531290448525098,20
PB2c,2017,lin_Martin,11.506066556342866,8.461293970517156,15.580665757138185,20
PB3,2017,lin_Martin,0.5221609721068473,0,1.5402467792500425,20
PB4,2017,lin_Martin,0.5199592151421435,0,1.5358967240070036,20
PB5,2017,lin_Martin,0.5429403143831613,0,1.5978362085275073,20
PB6,2017,lin_Martin,1.100904872815393,0,1.6900876933147253,20
NB,2020,exp_SM,4968.019302070025,4892.366814973862,5050.11883039271,20
PB1,2020,exp_SM,6342.553729435227,6286.922723944179,6408.1911135469,20
PB2,2020,exp_SM,10406.904065040086,10369.14375943924,10434.16951920034,20
PB2b,2020,exp_SM,11201.785575074868,11158.875161285647,11222.386838712107,20
PB2c,2020,exp_SM,11688.341747823426,11648.691652524838,11710.841543012279,20
PB3,2020,exp_SM,7954.773149610183,7909.677907387682,7990.321037502903,20
PB4,2020,exp_SM,9344.832041619813,9294.411126653718,9370.729464815964,20
PB5,2020,exp_SM,8958.35720943114,8914.684253670423,8992.399205363417,20
PB6,2020,exp_SM,7669.155611300697,7618.688336254775,7724.311629329799,20
NB,2020,exp_WF,13832.198763486393,13805.713892934338,13861.426258783082,20
PB1,2020,exp_WF,15436.209770001442,15417.359367972567,15469.887072762525,20
PB2,2020,exp_WF,17123.431797210193,17117.908917914196,17153.907078421424,20
PB2b,2020,exp_WF,17299.67376242284,17286.59397841728,17318.30148066431,20
PB2c,2020,exp_WF,17077.165223821255,17067.044555651177,17104.766169783165,20
PB3,2020,exp_WF,16232.6824372124,16211.767092139467,16256.048212353373,20
PB4,2020,exp_WF,16546.33636598968,16522.266288236373,16568.6115869609,20
PB5,2020,exp_WF,15661.543514521563,15635.879956994442,15680.923572326981,20
PB6,2020,exp_WF,16715.113281067537,16691.202061033284,16721.259019441804,20
NB,2020,lin_Martin,14.134418305673474,10.503040176968893,18.863009801744628,20
PB1,2020,lin_Martin,9.147574885970826,6.631786933620546,12.513471237124012,20
PB2,2020,lin_Martin,43.91835893268983,34.80540975706485,55.1199145547072,20
PB2b,2020,lin_Martin,98.23946349954764,81.47021728011978,117.94249284793506,20
PB2c,2020,lin_Martin,168.70495850261818,144.30359782156938,196.6658280484503,20
PB3,2020,lin_Martin,8.284648187993714,5.970957517719558,11.3875174506595,20
PB4,2020,lin_Martin,17.41732057945341,13.114281343538213,23.029125038640885,20
PB5,2020,lin_Martin,22.131638849180845,16.858346005554168,28.83453392579305,20
PB6,2020,lin_Martin,6.720440705680177,4.785037373623208,9.35507880235821,20
