alternative,climate,variant,median_S,q25,q75,n
NB,2011,exp_SM,6163.852020387472,6092.423482896636,6225.269742699822,20
PB1,2011,exp_SM,7212.760406754644,7160.470543636824,7270.500561089741,20
PB2,2011,exp_SM,11147.590263850814,11113.777236855947,11170.71510303994,20
PB2b,2011,exp_SM,11836.92935829779,11806.154185534837,11861.873838273055,20
PB2c,2011,exp_SM,12248.97406326215,12216.289595380196,12276.613603067406,20
PB3,2011,exp_SM,8604.725695550198,8563.256243770296,8637.414607712011,20
PB4,2011,exp_SM,9777.787338880307,9733.222553796939,9798.139474712643,20
PB5,2011,exp_SM,9225.2549242784,9174.193602554264,9251.75430756565,20
PB6,2011,exp_SM,8672.984993723156,8624.67253104116,8701.833862849702,20
NB,2011,exp_WF,14604.70029758506,14578.032642831426,14632.512291352748,20
PB1,2011,exp_WF,16054.14587035575,16037.105921376635,16085.718531529823,20
PB2,2011,exp_WF,17606.495234936297,17593.271403589286,17620.867170969086,20
PB2b,2011,exp_WF,17750.87606338928,17741.375959117868,17770.541911205517,20
PB2c,2011,exp_WF,17492.823425438895,17471.561761992703,17508.723955898204,20
PB3,2011,exp_WF,16658.49478129739,16651.2581718771,16687.295032380862,20
PB4,2011,exp_WF,16932.432737068135,16916.177371905454,16949.62912851802,20
PB5,2011,exp_WF,16098.834080093191,16073.301885258048,16114.044335785775,20
PB6,2011,exp_WF,16904.449391283448,16887.432573323927,16913.212745997556,20
NB,2011,lin_Martin,11.218546311487108,8.22878312991964,15.18820869719658,20
PB1,2011,lin_Martin,7.7228207404836,5.548752394673191,10.67580284769596,20
PB2,2011,lin_Martin,37.582263940490094,29.50229795770812,47.62267930307442,20
PB2b,2011,lin_Martin,88.72781473649522,73.2027168830696,107.16021449837694,20
PB2c,2011,lin_Martin,152.309263429289,129.68358209916272,178.6785730267288,20
PB3,2011,lin_Martin,7.021239532182257,5.015273297450843,9.75131169115641,20
PB4,2011,lin_Martin,14.140886454019514,10.50837802233482,18.88174385653902,20
PB5,2011,lin_Martin,18.23324535605435,13.736557316461754,24.03488321935595,20
PB6,2011,lin_Martin,6.776353474248917,4.827990804374953,9.416959450194524,20
NB,2014,exp_SM,353.4865217902883,304.5570354976884,407.9255650801005,20
PB1,2014,exp_SM,591.3156987997122,525.7107832197555,663.1598488834383,20
PB2,2014,exp_SM,5264.404996384146,5176.734897776405,5334.632961547827,20
PB2b,2014,exp_SM,6640.8183385886505,6587.278819032393,6697.001190506526,20
PB2c,2014,exp_SM,7587.358842655314,7539.540910721415,7637.54394513683,20
PB3,2014,exp_SM,1066.4136459959589,980.4700942852886,1159.4803878199612,20
PB4,2014,exp_SM,2211.1539852127585,2110.2388177179155,2312.480577397825,20
PB5,2014,exp_SM,2332.579429401887,2229.3391899748617,2435.7265642314314,20
PB6,2014,exp_SM,1051.0003867862438,965.812474962027,1142.092380476865,20
NB,2014,exp_WF,10270.9803414891,10227.901908716893,10301.128973165785,20
PB1,2014,exp_WF,12405.609227744853,12380.655227222149,12440.591671332022,20
PB2,2014,exp_WF,15962.789737722258,15947.209640130779,15985.215531573032,20
PB2b,2014,exp_WF,16377.319334391144,16360.919945665759,16409.4198740917,20
PB2c,2014,exp_WF,16323.907964435912,16308.213111650884,16343.874294554233,20
PB3,2014,exp_WF,13587.720442223774,13556.05349121054,13607.279392138202,20
PB4,2014,exp_WF,14395.984015573411,14377.417745133698,14418.143432638302,20
PB5,2014,exp_WF,13682.01015763315,13654.415888607016,13709.715798269925,20
PB6,2014,exp_WF,14094.546882949158,14078.479483406132,14118.784217703467,20
NB,2014,lin_Martin,0,0,0,20
PB1,2014,lin_Martin,0,0,0,20
PB2,2014,lin_Martin,1.4684996011039793,0,2.219245876803992,20
PB2b,2014,lin_Martin,3.8939472131975728,2.6940945887289267,5.5812350355599465,20
PB2c,2014,lin_Martin,6.775473468527294,4.827530954471288,9.42559994153745,20
PB3,2014,lin_Martin,0,0,0,20
PB4,2014,lin_Martin,0,0,0,20
PB5,2014,lin_Martin,0,0,0,20
PB6,2014,lin_Martin,0,0,0,20
NB,2017,exp_SM,3134.8765665184537,3028.116860871628,3228.242207192063,20
PB1,2017,exp_SM,3671.111995333117,3569.091105553548,3764.106257955878,20
PB2,2017,exp_SM,6098.25466431671,6030.335802748199,6161.231865003173,20
PB2b,2017,exp_SM,8201.702760419197,8148.75664712332,8234.5328873184,20
PB2c,2017,exp_SM,8944.636648113668,8896.70593885304,8975.527560788889,20
PB3,2017,exp_SM,3372.5043011562334,3270.5580889014163,3468.2747970801456,20
PB4,2017,exp_SM,3682.9261081080117,3586.65626512432,3778.4841677403338,20
PB5,2017,exp_SM,3459.161459315288,3360.081041064919,3551.534377431075,20
