"scenario","chinook_raw","steelhead_raw","hydro_raw","chinook_norm","steelhead_norm","hydro_norm","Composite"
"PB1",8560.22159721154,52,111422,0.276544058894571,0.8125,0.762977302218724,0.573356274667191
"PB2",10504.6555068068,52.5,370826,0.836370153239685,0.9375,0.211159565189645,0.533877843890696
"PB4",9545.1376977127,51.25,241590,0.560113344063005,0.625,0.486077134165798,0.529583904708101
"PB3",9115.52329662505,51.25,201552,0.436422149906974,0.625,0.571248058882342,0.52269288940396
"PB2c",11072.9881120149,51.25,433215,1,0.625,0.0784424259184412,0.501721212959221
"NB",7599.70608883616,48.75,0,0,0,1,0.5
"PB2b",10974.096931224,52.5,470090,0.971528030223011,0.9375,0,0.482361212089204
"PB5",9079.77699730816,49,199382,0.426130356992279,0.0625,0.575864196217746,0.464634240905785
"PB6",9350.38224414129,52.75,348806,0.504040888019492,1,0.258001659256738,0.430617184836166
