"Panelist","Martin et al. (2017)","Bratovich et al. (2020) / Water Forum","Bartholow & Heasley (2006) / SALMOD","Sum"
"Panelist 1",0.25,0.25,0.5,1
"Panelist 2",0.1,0.9,0,1
"Panelist 3",0.2,0.7,0.1,1
"Panelist 4",0.3,0.4,0.3,1
"Panelist 5",0.4,0.3,0.3,1
"Panel mean (weights used)",0.25,0.51,0.24,1
