"scenario","weighting","frac_overlapping","d_nll_pre","d_nll_post","d_nll_net","crossover","pct_offset"
"PB1","observed",1,-0.0244207006642264,0.0374116434174682,0.0129909427532418,"11-14",153.196437448136
"PB2","observed",1,-0.0896323633984391,0.0178911007599519,-0.0717412626384872,"11-22",19.960536665112
"PB2b","observed",1,-0.130562216040449,0.0219583021257486,-0.1086039139147,"11-24",16.8182670237045
"PB2c","observed",1,-0.149578340755425,0.0118088964191955,-0.137769444336229,"11-27",7.89479035504489
"PB3","observed",1,-0.0503623716863341,0.0644521911402787,0.0140898194539446,"11-14",127.976878336268
"PB4","observed",1,-0.0641396144542505,0.0561145366084814,-0.00802507784576906,"11-21",87.4881102512813
"PB5","observed",1,-0.0673569253891137,0.0497717750251454,-0.0175851503639683,"11-21",73.892587492109
"PB6","observed",1,-0.0717909056409252,0.0927985444662769,0.0210076388253517,"11-15",129.262256323141
"PB1","simulated",1,-0.0240537207782907,0.0375130846993709,0.0134593639210803,"11-14",155.955434276213
"PB2","simulated",1,-0.0905663994029358,0.0177165509478891,-0.0728498484550467,"11-22",19.5619468861371
"PB2b","simulated",1,-0.132352757065979,0.0217051773834039,-0.110647579682575,"11-24",16.3994901689759
"PB2c","simulated",1,-0.151617096018224,0.0116723620130908,-0.139944734005133,"11-27",7.69857906504679
"PB3","simulated",1,-0.0496888184567898,0.0646082998674491,0.0149194814106592,"11-14",130.025832519309
"PB4","simulated",1,-0.0638754776504811,0.055756569240858,-0.00811890840962309,"11-21",87.2894752285865
"PB5","simulated",1,-0.0675163910360981,0.0494521232281574,-0.0180642678079406,"11-21",73.2446187796346
"PB6","simulated",1,-0.0720984017807354,0.0928578741520864,0.020759472371351,"11-15",128.793249029964
