WY,Basin,Index,Code,Classification,Type
1904,San Joaquin Valley,4.31,W,Wet,Reconstructed
1903,San Joaquin Valley,3.45,AN,Above Normal,Reconstructed
1902,San Joaquin Valley,3.41,AN,Above Normal,Reconstructed
1901,San Joaquin Valley,4.6,W,Wet,Reconstructed
"Notes:"
"Water Year Hydrologic Classification Indices (HCI)"
"Generated 24 Jul 2025 10:49:32 PDT."
"Data Courtesy of <a href='https://cdec.water.ca.gov/water_supply.html'>Water Supply Information</a>, CDEC"
"Reconstructed Year classifications based on measured unimpaired runoff (in million acre-feet), subject to revision."
"Citation: Columbia Basin Research, University of Washington. (2025). SacPAS Water Year Hydrologic Classification Indices (HCI). Available from www.cbr.washington.edu/sacramento/data/query_hci.html."

