sort,catchyy,loc_code,location,fishery,sam_run,sacw,cfhlh,cfhfh,cfhfn,frhs,frhsn,frhf,frhfn,frhfnc,frhfb,frhfk,nimf,nimfn,mokf,mokfn,mokfnc,mokfb,merfn,hatchery,natural,totalrun,hat_prop,id_code,run
"A","2017","6FCSABAT CNFH","CNFH","50","3",0.00,0.00,5464.00,28.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,0.00,8.00,0.00,40.00,3.00,1.00,2.00,5556.00,840.00,6396,0.869,"CNFH503","Fall"
"A","2017","6FCSABAT CNFH","CNFH","50","7",0.00,3906.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3906.00,0.00,3906,1.000,"CNFH507","Late-fall"
"F","2017","6FCSASAF KESW","KESW","50","3",0.00,0.00,28.00,0.00,0.00,0.00,0.00,12.00,6.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,54.00,57.00,111,0.486,"KESW503","Fall"
"F","2017","6FCSASAF KESW","KESW","50","4",168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.00,12.00,180,0.933,"KESW504","Winter"
"F","2017","6FCSASAF KESW","KESW","50","7",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,16.00,18,0.111,"KESW507","Late-fall"
"G","2017","6FCSAFEA FRFH","FRFH","50","1",0.00,0.00,0.00,0.00,412.00,80.00,0.00,73.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,567.00,13.00,580,0.978,"FRFH501","Spring"
"G","2017","6FCSAFEA FRFH","FRFH","50","3",0.00,2.00,4.00,341.00,579.00,61.00,44.00,21293.0,1419.00,38.00,10.00,0.00,96.00,5.00,241.00,80.00,22.00,106.00,24341.0,705.00,25046,0.972,"FRFH503","Fall"
"I","2017","6FCSAAMN NBFH","NBFH","50","3",0.00,2.00,0.00,2404.00,0.00,0.00,0.00,967.00,175.00,3.00,0.00,132.00,4402.00,16.00,970.00,286.00,75.00,110.00,9542.00,1037.00,10579,0.902,"NBFH503","Fall"
"J","2017","6FCSJMOK MRFI","MRFI","50","3",0.00,7.00,0.00,507.00,0.00,0.00,0.00,695.00,89.00,0.00,0.00,4.00,2172.00,114.00,7209.00,1520.00,796.00,336.00,13449.0,870.00,14319,0.939,"MRFI503","Fall"
"M","2017","6FCSJMER MRFF","MRFF","50","3",0.00,1.00,0.00,129.00,0.00,0.00,0.00,100.00,5.00,0.00,0.00,0.00,116.00,7.00,926.00,82.00,30.00,238.00,1634.00,67.00,1701,0.961,"MRFF503","Fall"
"A","2017","6FCSABAT","BATT","54","3",0.00,0.00,300.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,304.00,49.00,353,0.861,"BATT543","Fall"
"B","2017","6FCSACLR","CLR","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,2349.00,2353,0.002,"CLR543","Fall"
"F","2017","6FCSASAF ABRB","USAC","54","3",0.00,0.00,127.00,128.00,0.00,0.00,0.00,64.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,15.00,374.00,1378.00,1752,0.213,"USAC543","Fall"
"F","2017","6FCSASAF ABRB","USAC","54","4",652.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,652.00,143.00,795,0.820,"USAC544","Winter"
"F","2017","6FCSASAF ABRB","USAC","54","7",14.00,103.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,0.00,0.00,145.00,1030.00,1175,0.123,"USAC547","Late-fall"
"G","2017","6FCSAFEA","FEA","54","3",0.00,0.00,0.00,533.00,34.00,34.00,0.00,7668.00,1046.00,22.00,11.00,0.00,88.00,0.00,89.00,66.00,0.00,107.00,9698.00,836.00,10534,0.921,"FEA543","Fall"
"H","2017","6FCSAFEA YUBA","YUBA","54","3",0.00,0.00,0.00,939.00,20.00,0.00,0.00,157.00,20.00,0.00,0.00,0.00,156.00,0.00,78.00,20.00,39.00,0.00,1429.00,219.00,1648,0.867,"YUBA543","Fall"
"I","2017","6FCSAAMN","LARC","54","3",0.00,0.00,0.00,2603.00,0.00,0.00,0.00,179.00,30.00,0.00,0.00,197.00,1649.00,3.00,646.00,125.00,76.00,66.00,5574.00,1660.00,7234,0.771,"LARC543","Fall"
"I","2017","6FCSAAMN NBFW","NIMW","54","3",0.00,0.00,0.00,352.00,0.00,0.00,0.00,171.00,9.00,0.00,0.00,40.00,154.00,3.00,130.00,56.00,41.00,20.00,976.00,1453.00,2429,0.402,"NIMW593","Fall"
"J","2017","6FCSJMOK","MOKE","54","3",0.00,0.00,0.00,547.00,0.00,0.00,0.00,121.00,31.00,0.00,0.00,0.00,1328.00,59.00,2115.00,408.00,105.00,117.00,4831.00,813.00,5644,0.856,"MOKE543","Fall"
"K","2017","6FCSJSTA","STA","54","3",0.00,8.00,0.00,366.00,0.00,0.00,0.00,151.00,0.00,0.00,0.00,0.00,364.00,0.00,2128.00,84.00,76.00,254.00,3431.00,68.00,3499,0.981,"STA543","Fall"
