sort,catchyy,loc_code,location,fishery,sam_run,sacw,cfhlh,cfhfh,cfhfn,frhs,frhsn,frhfk,frhfb,frhfn,frhfnc,nimf,nimfn,mokf,mokfb,mokfn,mokfnc,merft,noncv,hatchery,natural,totalrun,hat_prop,id_code,run
"J","2016","6FCSJMOK","MOKE","54","3",0.00,0.00,0.00,157.00,0.00,0.00,0.00,0.00,38.00,7.00,0.00,678.00,16.00,24.00,628.00,18.00,38.00,0.00,1604.00,380.00,1984,0.808,"MOKE543","Fall"
"K","2016","6FCSJSTA","STA","54","3",0.00,0.00,0.00,661.00,0.00,0.00,0.00,0.00,116.00,0.00,0.00,156.00,38.00,68.00,5716.00,0.00,131.00,0.00,6886.00,2306.00,9192,0.749,"STA543","Fall"
"L","2016","6FCSJTUO","TUO","54","3",0.00,0.00,0.00,297.00,0.00,0.00,0.00,0.00,19.00,5.00,0.00,45.00,5.00,18.00,769.00,3.00,39.00,0.00,1200.00,157.00,1357,0.884,"TUO543","Fall"
"M","2016","6FCSJMER","MER","54","3",0.00,0.00,0.00,337.00,0.00,0.00,0.00,0.00,28.00,17.00,0.00,67.00,0.00,17.00,2018.00,28.00,48.00,0.00,2560.00,771.00,3331,0.769,"MER543","Fall"
"F","2016","6FCSASAK","SAK","46","3",0.00,0.00,1608.00,70.00,0.00,18.00,0.00,0.00,70.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1783.00,1100.00,2883,0.618,"SAK463","Fall"
"F","2016","6FCSASBK","SBK","46","3",0.00,0.00,260.00,2741.00,0.00,0.00,0.00,0.00,1182.00,67.00,0.00,1822.00,0.00,33.00,391.00,131.00,0.00,0.00,6626.00,1784.00,8410,0.788,"SBK463","Fall"
"F","2016","6FCSASAK","SAK","46","7",0.00,73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.00,57.00,130,0.562,"SAK467","Late-fall"
"G","2016","6FCSAFEA","FEA","46","3",0.00,0.00,63.00,1079.00,16.00,32.00,0.00,96.00,3356.00,677.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5319.00,1049.00,6368,0.835,"FEA463","Fall"
"I","2016","6FCSAAMN","AMN","46","3",0.00,0.00,0.00,8900.00,0.00,64.00,0.00,128.00,1664.00,257.00,127.00,3676.00,0.00,32.00,636.00,0.00,140.00,0.00,15623.0,2236.00,17859,0.875,"AMN463","Fall"
"J","2016","6FCSJMOK","MOK","46","3",0.00,0.00,0.00,212.00,0.00,0.00,0.00,0.00,71.00,18.00,0.00,281.00,0.00,0.00,423.00,0.00,0.00,0.00,1006.00,0.00,1006,1.000,"MOK463","Fall"
