sort,catchyy,loc_code,location,fishery,sam_run,sacw,cfhl,cfhf,cfhfn,cfhfe,frhs,frhf,frhfn,frhfgg,nimf,nimfn,mokf,mokfn,mokfnc,mokfgg,merf,merfn,sjosx,noncv,hatchery,natural,totalrun,hat_prop,id_code,run
"D","2020","6FCSACOW","COW","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.000,"COW543","Fall"
"D","2020","6FCSAMLC","MLC","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.000,"MLC543","Fall"
"F","2020","6FCSASAF ABRB","USAC","54","3",0.00,0.00,3266.00,0.00,0.00,17.00,0.00,1465.00,835.00,0.00,0.00,0.00,33.00,17.00,0.00,0.00,34.00,0.00,0.00,5667.00,7860.00,13527,0.419,"USAC543","Fall"
"F","2020","6FCSASAF ABRB","USAC","54","4",2681.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2681.00,3514.00,6195,0.433,"USAC544","Winter"
"F","2020","6FCSASAF ABRB","USAC","54","7",30.00,182.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.00,1611.00,1847,0.128,"USAC547","Late-fall"
"G","2020","6FCSAFEA","FEA","54","3",0.00,0.00,0.00,0.00,0.00,1772.00,583.00,17212.0,10021.0,0.00,71.00,0.00,212.00,197.00,0.00,0.00,342.00,9.00,0.00,30419.0,12550.0,42969,0.708,"FEA543","Fall"
"H","2020","6FCSAFEA YUBAA","YUBA","54","3",0.00,0.00,0.00,0.00,0.00,13.00,51.00,352.00,152.00,0.00,303.00,13.00,405.00,103.00,50.00,0.00,176.00,0.00,0.00,1618.00,2228.00,3846,0.421,"YUBA543","Fall"
"H","2020","6FCSAFEA YUBAB","YUBB","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.00,45.00,0.00,22.00,0.00,6.00,17.00,6.00,0.00,29.00,0.00,0.00,282.00,66.00,348,0.810,"YUBB543","Fall"
"I","2020","6FCSAAMN","LARC","54","3",0.00,0.00,0.00,0.00,0.00,2.00,0.00,844.00,554.00,1902.00,10286.0,25.00,3945.00,638.00,205.00,0.00,1034.00,2.00,0.00,19437.0,3019.00,22456,0.866,"LARC543","Fall"
"J","2020","6FCSJMOK","MOKE","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,179.00,0.00,0.00,0.00,176.00,89.00,0.00,0.00,0.00,0.00,0.00,444.00,157.00,601,0.739,"MOKE543","Fall"
"K","2020","6FCSJSTA","STA","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,13.00,0.00,258.00,13.00,0.00,0.00,31.00,0.00,0.00,342.00,199.00,541,0.632,"STA543","Fall"
"L","2020","6FCSJTUO","TUO","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,14.00,0.00,35.00,0.00,0.00,0.00,53.00,0.00,0.00,109.00,162.00,271,0.402,"TUO543","Fall"
"M","2020","6FCSJMER","MER","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,64.00,0.00,0.00,26.00,74.00,0.00,0.00,207.00,219.00,426,0.486,"MER543","Fall"
"N","2020","6FCSJAMR","UPSJ","54","1",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,17.00,2.00,19,0.895,"UPSJ541","Spring"
"F","2020","6FCSASBK","LSAC","46","3",27.00,136.00,108.00,0.00,0.00,0.00,27.00,1816.00,536.00,0.00,1182.00,0.00,135.00,54.00,107.00,0.00,143.00,0.00,0.00,4271.00,915.00,5186,0.824,"LSAC463","Fall"
"F","2020","6FCSASAK","USAC","46","3",12.00,12.00,3703.00,0.00,0.00,0.00,0.00,457.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4230.00,1415.00,5645,0.749,"USAC463","Fall"
"F","2020","6FCSASAK","USAC","46","7",44.00,237.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.00,157.00,438,0.642,"USAC467","Late-fall"
"G","2020","6FCSAFEA","FEA","46","3",0.00,0.00,0.00,0.00,0.00,216.00,43.00,1289.00,779.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,2338.00,1030.00,3368,0.694,"FEA463","Fall"
"I","2020","6FCSAAMN","AMN","46","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.00,0.00,482.00,0.00,289.00,195.00,0.00,0.00,0.00,0.00,0.00,1063.00,975.00,2038,0.522,"AMN463","Fall"
"J","2020","6FCSJMOK","MOKE","46","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,12.00,0.00,0.00,0.00,0.00,0.00,110.00,73.00,183,0.601,"MOKE463","Fall"
