sort,catchyy,loc_code,location,fishery,sam_run,sacw,cfhlh,cfhfh,cfhfn,frhs,frhsn,frhfe,frhfn,frhfnc,frhftn,nimf,nimfn,mokf,mokfn,mokft,merf,merft,noncv,hatchery,natural,totalrun,hat_prop,id_code,run
"A","2015","6FCSABAT CNFH","CNFH","50","3",0.00,0.00,9500.00,483.00,0.00,2.00,0.00,1489.00,105.00,88.00,8.00,4.00,0.00,12.00,1.00,0.00,19.00,0.00,11711.0,4013.00,15724,0.745,"CNFH503","Fall"
"A","2015","6FCSABAT CNFH","CNFH","50","7",0.00,2348.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2348.00,0.00,2348,1.000,"CNFH507","Late-fall"
"F","2015","6FCSASAF KESW","KESW","50","4",136.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,136.00,121.00,257,0.529,"KESW504","Winter"
"F","2015","6FCSASAF KESW","KESW","50","7",0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,61.00,65,0.062,"KESW507","Late-fall"
"G","2015","6FCSAFEA FRFH","FRFH","50","1",0.00,0.00,0.00,0.00,2023.00,1256.00,0.00,24.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3307.00,79.00,3386,0.977,"FRFH501","Spring"
"G","2015","6FCSAFEA FRFH","FRFH","50","3",0.00,0.00,20.00,462.00,2080.00,1992.00,18.00,12043.0,794.00,863.00,51.00,172.00,1.00,139.00,11.00,0.00,153.00,0.00,18799.0,2017.00,20816,0.903,"FRFH503","Fall"
"I","2015","6FCSAAMN NBFH","NBFH","50","3",0.00,1.00,0.00,217.00,0.00,0.00,0.00,251.00,25.00,4.00,2324.00,2392.00,9.00,2378.00,183.00,0.00,339.00,5.00,8129.00,1693.00,9822,0.828,"NBFH503","Fall"
"J","2015","6FCSJMOK MRFI","MRFI","50","3",0.00,1.00,0.00,265.00,0.00,2.00,0.00,282.00,31.00,5.00,0.00,833.00,107.00,5757.00,212.00,0.00,456.00,0.00,7951.00,347.00,8298,0.958,"MRFI503","Fall"
"M","2015","6FCSJMER MRFF","MRFF","50","3",0.00,0.00,0.00,43.00,0.00,0.00,0.00,69.00,6.00,0.00,0.00,34.00,0.00,741.00,24.00,0.00,142.00,0.00,1058.00,140.00,1198,0.883,"MRFF503","Fall"
"A","2015","6FCSABAT CNFW","CNFW","52","7",0.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.00,0.00,104,1.000,"CNFW527","Late-fall"
"A","2015","6FCSABAT","BATT","54","3",0.00,0.00,2191.00,111.00,0.00,0.00,0.00,343.00,25.00,21.00,2.00,1.00,0.00,3.00,0.00,0.00,4.00,0.00,2701.00,930.00,3631,0.744,"BATT543","Fall"
"B","2015","6FCSACLR","CLR","54","3",0.00,0.00,666.00,368.00,0.00,85.00,0.00,4875.00,259.00,235.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6488.00,2321.00,8809,0.737,"CLR543","Fall"
"C","2015","6FCSACOT","COT","54","3",0.00,0.00,0.00,73.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,512.00,604,0.152,"COT543","Fall"
"D","2015","6FCSADEE","DEE","54","3",0.00,0.00,0.00,86.00,0.00,0.00,0.00,472.00,11.00,0.00,0.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,612.00,0.00,612,1.000,"DEE543","Fall"
"D","2015","6FCSAMLC","MLC","54","3",0.00,0.00,63.00,63.00,0.00,0.00,0.00,314.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,455.00,578.00,1033,0.440,"MLC543","Fall"
"F","2015","6FCSASAF ABRB","USAC","54","3",0.00,0.00,2382.00,453.00,0.00,392.00,0.00,14784.0,760.00,602.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19373.0,9295.00,28668,0.676,"USAC543","Fall"
"F","2015","6FCSASAF ABRB","USAC","54","4",558.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,558.00,2624.00,3182,0.175,"USAC544","Winter"
"F","2015","6FCSASAF ABRB","USAC","54","7",0.00,186.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,251.00,2834.00,3085,0.081,"USAC547","Late-fall"
"G","2015","6FCSAFEA","FEA","54","3",0.00,0.00,24.00,453.00,1599.00,1603.00,0.00,11762.0,527.00,523.00,131.00,71.00,0.00,119.00,6.00,0.00,137.00,24.00,16979.0,3587.00,20566,0.826,"FEA543","Fall"
"H","2015","6FCSAFEA YUBAADG","YUBA","54","3",0.00,0.00,0.00,945.00,0.00,34.00,0.00,544.00,103.00,68.00,439.00,135.00,0.00,575.00,136.00,0.00,0.00,0.00,2978.00,2003.00,4981,0.598,"YUBA543","Fall"
"H","2015","6FCSAFEA YUBABDG","YUBB","54","3",0.00,0.00,0.00,295.00,0.00,0.00,0.00,380.00,32.00,11.00,0.00,84.00,0.00,253.00,21.00,0.00,93.00,0.00,1168.00,1401.00,2569,0.455,"YUBB543","Fall"
"I","2015","6FCSAAMN","LARC","54","3",0.00,2.00,0.00,215.00,0.00,0.00,0.00,179.00,9.00,4.00,3209.00,2926.00,5.00,2049.00,162.00,0.00,176.00,3.00,8939.00,4854.00,13793,0.648,"LARC543","Fall"
"I","2015","6FCSAAMN NBFW","NIMW","54","3",0.00,0.00,0.00,104.00,4.00,25.00,0.00,50.00,6.00,7.00,13.00,449.00,1.00,147.00,16.00,0.00,14.00,0.00,838.00,1108.00,1946,0.431,"NIMW593","Fall"
"J","2015","6FCSJMOK","MOKE","54","3",0.00,0.00,0.00,103.00,0.00,0.00,0.00,77.00,6.00,0.00,0.00,460.00,50.00,3102.00,284.00,0.00,247.00,0.00,4329.00,252.00,4581,0.945,"MOKE543","Fall"
"K","2015","6FCSJSTA","STA","54","3",0.00,0.00,0.00,184.00,0.00,0.00,0.00,106.00,20.00,0.00,0.00,53.00,0.00,4057.00,198.00,0.00,180.00,0.00,4798.00,1338.00,6136,0.782,"STA543","Fall"
"L","2015","6FCSJTUO","TUO","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,53.00,0.00,0.00,11.00,0.00,74.00,39.00,113,0.655,"TUO543","Fall"
"M","2015","6FCSJMER","MER","54","3",0.00,0.00,0.00,15.00,0.00,0.00,0.00,46.00,4.00,0.00,0.00,15.00,0.00,774.00,50.00,4.00,107.00,0.00,1014.00,233.00,1247,0.813,"MER543","Fall"
"F","2015","6FCSASBK","LSAC","46","3",0.00,169.00,0.00,545.00,0.00,0.00,0.00,1753.00,165.00,82.00,0.00,1308.00,0.00,547.00,82.00,0.00,130.00,0.00,4781.00,1424.00,6205,0.771,"LSAC463","Fall"
"F","2015","6FCSASAK","USAC","46","3",0.00,0.00,3256.00,50.00,0.00,89.00,0.00,2263.00,50.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5860.00,2228.00,8088,0.725,"USAC463","Fall"
"F","2015","6FCSASAK","USAC","46","7",0.00,93.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.00,123.00,252,0.512,"USAC467","Late-fall"
"G","2015","6FCSAFEA","FEA","46","3",0.00,0.00,0.00,87.00,67.00,111.00,0.00,1405.00,22.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,104.00,0.00,1906.00,0.00,1906,1.000,"FEA463","Fall"
"I","2015","6FCSAAMN","AMN","46","3",0.00,0.00,0.00,168.00,85.00,234.00,0.00,337.00,21.00,63.00,796.00,1672.00,0.00,1507.00,0.00,0.00,92.00,0.00,4974.00,1656.00,6630,0.750,"AMN463","Fall"
"J","2015","6FCSJMOK","MOKE","46","3",0.00,14.00,0.00,0.00,0.00,0.00,0.00,102.00,0.00,0.00,0.00,152.00,0.00,917.00,13.00,0.00,56.00,0.00,1253.00,28.00,1281,0.978,"MOKE463","Fall"
