sort,catchyy,loc_code,location,fishery,sam_run,sacw,cfhlh,cfhfh,cfhfn,frhs,frhsn,frhfe,frhfn,frhfnc,frhftn,nimf,nimfn,mokf,mokfn,mokft,merf,merft,noncv,hatchery,natural,totalrun,hat_prop,id_code,run
"A","2013","6FCSABAT CNFH","CNFH","50","3",0.00,0.00,60877.0,1053.00,0.00,4.00,4.00,682.00,15.00,7.00,0.00,4.00,0.00,15.00,4.00,3.00,0.00,0.00,62669.0,7192.00,69861,0.897,"CNFH503","Fall"
"A","2013","6FCSABAT CNFH","CNFH","50","7",0.00,4915.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4915.00,35.00,4950,0.993,"CNFH507","Late-fall"
"G","2013","6FCSAFEA FRFH","FRFH","50","1",0.00,0.00,0.00,0.00,3371.00,668.00,0.00,206.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4246.00,45.00,4291,0.990,"FRFH501","Spring"
"G","2013","6FCSAFEA FRFH","FRFH","50","3",0.00,0.00,4.00,267.00,2991.00,855.00,62.00,22234.0,128.00,75.00,8.00,16.00,1.00,57.00,8.00,4.00,2.00,0.00,26712.0,910.00,27622,0.967,"FRFH503","Fall"
"I","2013","6FCSAAMN NBFH","NBFH","50","3",0.00,0.00,0.00,144.00,0.00,0.00,0.00,137.00,1.00,1.00,3163.00,2343.00,8.00,1710.00,321.00,0.00,9.00,0.00,7837.00,1239.00,9076,0.863,"NBFH503","Fall"
"I","2013","6FCSAAMN NBFW","NIMW","59","3",0.00,0.00,8.00,68.00,0.00,2.00,7.00,257.00,10.00,2.00,1104.00,432.00,0.00,820.00,96.00,1.00,0.00,0.00,2808.00,1161.00,3969,0.707,"NIMW593","Fall"
"J","2013","6FCSJMOK MRFI","MRFI","50","3",0.00,1.00,0.00,56.00,0.00,0.00,0.00,193.00,2.00,5.00,4.00,72.00,241.00,3394.00,647.00,0.00,4.00,4.00,4623.00,558.00,5181,0.892,"MRFI503","Fall"
"M","2013","6FCSJMER MRFF","MRFF","50","3",0.00,3.00,0.00,25.00,0.00,0.00,1.00,46.00,0.00,0.00,0.00,34.00,0.00,378.00,99.00,96.00,6.00,0.00,688.00,410.00,1098,0.627,"MRFF503","Fall"
"A","2013","6FCSABAT CNFW","CNFW","52","7",0.00,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,7.00,223,0.969,"CNFW527","Late-fall"
"G","2013","6FCSAFEA FRFH","FRFH","52","1",0.00,0.00,0.00,0.00,44.00,11.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,0.00,56,1.000,"FRFH521","Spring"
"B","2013","6FCSACLR","CLR","54","3",0.00,0.00,2615.00,259.00,0.00,108.00,0.00,1885.00,25.00,20.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,4918.00,8419.00,13337,0.369,"CLR543","Fall"
"C","2013","6FCSACOT","COT","54","3",0.00,0.00,533.00,87.00,0.00,0.00,0.00,234.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,855.00,1919.00,2774,0.308,"COT543","Fall"
"D","2013","6FCSADEE","DEE","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,989.00,1026,0.036,"DEE543","Fall"
"D","2013","6FCSAMLC","MLC","54","3",0.00,0.00,332.00,110.00,0.00,0.00,0.00,222.00,0.00,14.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,692.00,1505.00,2197,0.315,"MLC543","Fall"
"D","2013","6FCSAPAY","PAY","54","3",0.00,0.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,82.00,175,0.531,"PAY543","Fall"
"E","2013","6FCSABUT","BUTT","54","3",0.00,0.00,0.00,17.00,0.00,0.00,0.00,86.00,0.00,3.00,0.00,0.00,0.00,36.00,0.00,0.00,2.00,0.00,143.00,2057.00,2200,0.065,"BUTT543","Fall"
"F","2013","6FCSASAF ABRB","USAC","54","3",0.00,12.00,2727.00,786.00,0.00,998.00,23.00,6362.00,47.00,35.00,46.00,46.00,0.00,58.00,0.00,0.00,0.00,0.00,11140.0,21375.0,32515,0.343,"USAC543","Fall"
"F","2013","6FCSASAF ABRB","USAC","54","4",367.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,367.00,5553.00,5920,0.062,"USAC544","Winter"
"F","2013","6FCSASAF ABRB","USAC","54","7",0.00,1302.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,1359.00,6591.00,7950,0.171,"USAC547","Late-fall"
"G","2013","6FCSAFEA","FEA","54","3",0.00,0.00,65.00,3676.00,19545.0,7662.00,64.00,95101.0,485.00,523.00,0.00,79.00,16.00,308.00,65.00,0.00,17.00,0.00,127606,23603.0,151209,0.844,"FEA543","Fall"
"H","2013","6FCSAFEA YUBAADG","YUBA","54","3",0.00,0.00,0.00,352.00,39.00,20.00,0.00,2679.00,10.00,10.00,78.00,117.00,0.00,511.00,0.00,0.00,0.00,0.00,3817.00,7563.00,11380,0.335,"YUBA543","Fall"
"H","2013","6FCSAFEA YUBABDG","YUBB","54","3",0.00,0.00,27.00,242.00,61.00,7.00,7.00,1030.00,7.00,7.00,54.00,27.00,0.00,108.00,27.00,0.00,0.00,0.00,1603.00,1897.00,3500,0.458,"YUBB543","Fall"
"I","2013","6FCSAAMN","LARC","54","3",0.00,0.00,81.00,2419.00,0.00,0.00,0.00,1046.00,15.00,0.00,18268.0,8983.00,10.00,3839.00,469.00,0.00,32.00,0.00,35163.0,19096.0,54259,0.648,"LARC543","Fall"
"J","2013","6FCSJMOK","MOKE","54","3",0.00,0.00,0.00,87.00,0.00,0.00,0.00,141.00,0.00,0.00,0.00,91.00,66.00,3784.00,351.00,0.00,9.00,0.00,4529.00,2542.00,7071,0.641,"MOKE543","Fall"
"K","2013","6FCSJSTA","STA","54","3",0.00,0.00,0.00,131.00,0.00,0.00,3.00,158.00,0.00,3.00,0.00,13.00,0.00,1394.00,145.00,0.00,21.00,0.00,1870.00,975.00,2845,0.657,"STA543","Fall"
"L","2013","6FCSJTUO","TUO","54","3",0.00,0.00,0.00,73.00,0.00,0.00,0.00,73.00,0.00,0.00,0.00,6.00,0.00,342.00,36.00,2.00,5.00,0.00,536.00,1390.00,1926,0.278,"TUO543","Fall"
"M","2013","6FCSJMER","MER","54","3",0.00,0.00,0.00,234.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,52.00,0.00,698.00,156.00,61.00,21.00,0.00,1248.00,1578.00,2826,0.442,"MER543","Fall"
"F","2013","6FCSASBF","LSAC","46","3",0.00,799.00,1043.00,925.00,0.00,0.00,0.00,5700.00,87.00,29.00,1943.00,1068.00,0.00,987.00,231.00,0.00,62.00,0.00,12874.0,7615.00,20489,0.628,"LSAC463","Fall"
"F","2013","6FCSASAF","USAC","46","3",0.00,0.00,12298.0,139.00,0.00,107.00,0.00,1350.00,12.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13929.0,7018.00,20947,0.665,"USAC463","Fall"
"F","2013","6FCSASAF","USAC","46","7",0.00,737.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,748.00,517.00,1265,0.591,"USAC467","Late-fall"
"G","2013","6FCSAFEA","FEA","46","3",0.00,0.00,72.00,648.00,291.00,129.00,54.00,7538.00,90.00,164.00,0.00,0.00,0.00,72.00,0.00,0.00,0.00,0.00,9058.00,3591.00,12649,0.716,"FEA463","Fall"
"I","2013","6FCSAAMN","AMN","46","3",0.00,0.00,0.00,944.00,0.00,0.00,0.00,238.00,88.00,0.00,2784.00,1089.00,0.00,982.00,118.00,0.00,62.00,0.00,6304.00,3663.00,9967,0.632,"AMN463","Fall"
"J","2013","6FCSJMOK","MOKE","46","3",0.00,11.00,0.00,0.00,0.00,0.00,0.00,87.00,0.00,0.00,0.00,43.00,22.00,757.00,129.00,0.00,0.00,0.00,1049.00,190.00,1239,0.847,"MOKE463","Fall"
