return_year,age,n,prop
2011,3,3850.1,0.9653123393799596
2011,4,138.35,0.03468766062004037
2012,3,11287.47,0.9588526867059979
2012,4,483.37,0.04106151539477653
2012,5,1.01,8.579789922569521e-5
2013,3,8701.62,0.7484311674728723
2013,4,2923.86,0.25148282197191235
2013,5,1,8.601055521533601e-5
2014,3,3032.95,0.47988272504465845
2014,4,3266.48,0.5168325635779938
2014,5,20.759999999999998,0.0032847113773478327
2015,3,2076.4,0.6668979161848969
2015,4,1012.04,0.3250468922634189
2015,5,25.080000000000002,0.008055191551684267
2016,3,2674.87,0.8171958585250654
2016,4,550.38,0.16814583759772456
2016,5,47.980000000000004,0.014658303877209974
2017,3,2908.13,0.9289636512900453
2017,4,200.04,0.06390013128851209
2017,5,20.34,0.006497343883265026
2017,6,2,6.388735381774854e-4
2018,3,2018.46,0.9341781291075033
2018,4,138.93,0.06429920210304164
2018,5,3.29,0.0015226687894551716
2019,3,5126.17,0.9832039955962515
2019,4,81.95,0.01571808337201318
2019,5,5.62,0.0010779210317353762
2020,3,3158.52,0.7001290082325872
2020,4,1350.94,0.2994542641432479
2020,5,1.88,4.1672762416488225e-4
2021,3,1864.23,0.7624132473406757
2021,4,576.14,0.23562369896571608
2021,5,4.8,0.0019630536936082153
2022,3,3647.55,0.9486549960077711
2022,4,193.42000000000002,0.050304683781668
2022,5,4,0.0010403202105608105
2023,3,9267.59,0.9027864096774256
2023,4,984.9499999999999,0.09594721758426734
2023,5,13,0.0012663727383069958
2024,3,12.04,0.04609318173117415
2024,4,246.5,0.9436851575360822
2024,5,2.67,0.01022166073274377
