return_year,age,n,total,prop
2011,3,2462.78,2600.1200000000003,0.9471793609525714
2011,4,137.34,2600.1200000000003,0.05282063904742858
2012,3,6686.79,7064.72,0.9465046031548313
2012,4,376.92,7064.72,0.0533524329343555
2012,5,1.01,7064.72,1.429639108131674e-4
2013,3,7053.6,9378.150000000001,0.7521312838886134
2013,4,2324.55,9378.150000000001,0.24786871611138656
2014,3,2186.87,4731.61,0.4621830624248406
2014,4,2523.98,4731.61,0.5334294246567236
2014,5,20.759999999999998,4731.61,0.004387512918435797
2015,3,1745.6000000000001,2594.73,0.6727482242853785
2015,4,824.05,2594.73,0.3175860301457184
2015,5,25.080000000000002,2594.73,0.009665745568903124
2016,3,1824.74,2384.43,0.7652730421945707
2016,4,511.71000000000004,2384.43,0.21460474830462628
2016,5,47.980000000000004,2384.43,0.02012220950080313
2017,3,2128.47,2312.4599999999996,0.9204353805038791
2017,4,161.65,2312.4599999999996,0.06990391185144826
2017,5,20.34,2312.4599999999996,0.00879582781972445
2017,6,2,2312.4599999999996,8.648798249483236e-4
2018,3,1545.47,1682.69,0.9184520024484605
2018,4,133.93,1682.69,0.07959279487011868
2018,5,3.29,1682.69,0.00195520268142082
2019,3,4711.66,4772.32,0.9872892010594428
2019,4,55.04,4772.32,0.01153317464042646
2019,5,5.62,4772.32,0.0011776243001307542
2020,3,2768.35,4097.19,0.6756703984926254
2020,4,1326.96,4097.19,0.32387075044115604
2020,5,1.88,4097.19,4.588510662185547e-4
2021,3,1658.95,2239.89,0.7406390492390252
2021,4,576.14,2239.89,0.25721798838335813
2021,5,4.8,2239.89,0.002142962377616758
2022,3,3408.4,3605.82,0.9452496242186244
2022,4,193.42000000000002,3605.82,0.05364105806723575
2022,5,4,3605.82,0.0011093177141399183
2023,3,9267.59,10265.54,0.9027864096774256
2023,4,984.9499999999999,10265.54,0.09594721758426734
2023,5,13,10265.54,0.0012663727383069958
2024,3,12.04,261.21,0.04609318173117415
2024,4,246.5,261.21,0.9436851575360822
2024,5,2.67,261.21,0.01022166073274377
