return_year,age,n
2011,3,89.38
2012,3,874.28
2012,4,2.0300000000000002
2013,3,1664.57
2013,4,446.07
2014,3,1326.59
2014,4,752.8900000000001
2015,3,1387.75
2015,4,425.32
2015,5,9.81
2016,4,336.92
2016,5,7.84
2017,5,6.29
2018,3,309.08
2019,3,2281.59
2019,4,7.64
2020,3,54
2020,4,503.08000000000004
2021,3,791.62
2021,4,16.16
2021,5,4.8
2022,3,1253.75
2022,4,91.13000000000001
2023,4,246.93
2023,5,1
