return_year,age,n
2003,3,6890.5199999999995
2004,3,1396.5
2004,4,1617.1
2005,4,246.05
2005,5,65.75
2006,5,1
2009,3,284.03000000000003
2010,3,999.07
2010,4,40.58
2011,3,3636.2200000000003
2011,4,119.88
2012,3,9743.23
2012,4,418.3
2012,5,1.01
2013,3,7999.01
2013,4,2624.4900000000002
2013,5,1
2014,3,2867.87
2014,4,3140.9300000000003
2014,5,9.49
2015,3,1847.18
2015,4,816.65
2015,5,24.080000000000002
2016,3,1994.62
2016,4,528.29
2016,5,47.980000000000004
2017,3,1618.31
2017,4,167.17
2017,5,20.34
2017,6,2
2018,3,1615.8
2018,4,125.07000000000001
2018,5,3.29
2019,3,4674.68
2019,4,54.04
2019,5,4.62
2020,3,2715.16
2020,4,1286.8600000000001
2020,5,1.88
2021,3,1609
2021,4,421
2021,5,4.8
2022,3,3273.92
2022,4,179.78
2022,5,4
2023,3,6252.92
2023,4,904.67
2023,5,13
2024,3,9.37
2024,4,167.03
