release_group,age,n
ReleaseSite: AMERICAN,3,10032.61
ReleaseSite: AMERICAN,4,2828.17
ReleaseSite: AMERICAN,5,29.740000000000002
ReleaseSite: OTHER,3,47208.69
ReleaseSite: OTHER,4,9531.91
ReleaseSite: OTHER,5,187.44
ReleaseSite: OTHER,6,2
