release_group,age,n
ReleaseSite: AMERICAN,2,2208.17
ReleaseSite: AMERICAN,3,9835.09
ReleaseSite: AMERICAN,4,2730.07
ReleaseSite: AMERICAN,5,29.740000000000002
ReleaseSite: OTHER,2,8720.98
ReleaseSite: OTHER,3,41114.28
ReleaseSite: OTHER,4,8830.8
ReleaseSite: OTHER,5,171.5
ReleaseSite: OTHER,6,2
