variant,SAR,rear_surv,SAR_x_rear,sse,surv_mean,A_at_mean,S_eq_implied
exp_WF,0.0025,0.5419,0.00135475,2006398734.5339053,0.9624784519641131,1.1461056794850024,10569.672634654913
exp_SM,0.002627383408525846,0.5425222133651079,0.0014254138621522033,2004448678.7459183,0.8984453881426703,1.1256597864137965,9090.562464211545
lin_Martin,0.004120747084067529,0.5497808461662832,0.00226550781871589,1756594336.3934436,0.6211597636307608,1.2369250107333059,17139.784101754918
