age,n,prop
1,3,3.631803851600621e-5
2,12780.02,0.1547150861984432
3,57241.3,0.6929639127020887
4,12360.08,0.14963128716697266
5,217.18,0.002629183868302076
6,2,2.4212025677337472e-5
