release_group,return_year,age,n
ReleaseSite: OTHER,1986,3,1.36
ReleaseSite: OTHER,1991,3,1
ReleaseSite: OTHER,2003,3,7024.8099999999995
ReleaseSite: OTHER,2004,3,1430.87
ReleaseSite: OTHER,2004,4,1675.47
ReleaseSite: OTHER,2005,4,264.88
ReleaseSite: OTHER,2005,5,65.75
ReleaseSite: OTHER,2006,5,1
ReleaseSite: OTHER,2007,4,1.01
ReleaseSite: OTHER,2009,3,300.7
ReleaseSite: OTHER,2010,3,1021.25
ReleaseSite: OTHER,2010,4,41.58
ReleaseSite: AMERICAN,2011,3,89.38
ReleaseSite: OTHER,2011,3,2373.4
ReleaseSite: OTHER,2011,4,137.34
ReleaseSite: AMERICAN,2012,3,874.28
ReleaseSite: AMERICAN,2012,4,2.0300000000000002
ReleaseSite: OTHER,2012,3,5812.51
ReleaseSite: OTHER,2012,4,374.89
ReleaseSite: OTHER,2012,5,1.01
ReleaseSite: AMERICAN,2013,3,1664.57
ReleaseSite: AMERICAN,2013,4,446.07
ReleaseSite: OTHER,2013,3,5389.03
ReleaseSite: OTHER,2013,4,1878.48
ReleaseSite: AMERICAN,2014,3,1326.59
ReleaseSite: AMERICAN,2014,4,752.8900000000001
ReleaseSite: OTHER,2014,3,860.28
ReleaseSite: OTHER,2014,4,1771.0900000000001
ReleaseSite: OTHER,2014,5,20.759999999999998
ReleaseSite: AMERICAN,2015,3,1387.75
ReleaseSite: AMERICAN,2015,4,425.32
ReleaseSite: AMERICAN,2015,5,9.81
ReleaseSite: OTHER,2015,3,357.85
ReleaseSite: OTHER,2015,4,398.73
ReleaseSite: OTHER,2015,5,15.27
ReleaseSite: AMERICAN,2016,4,336.92
ReleaseSite: AMERICAN,2016,5,7.84
ReleaseSite: OTHER,2016,3,1824.74
ReleaseSite: OTHER,2016,4,174.79
ReleaseSite: OTHER,2016,5,40.14
ReleaseSite: AMERICAN,2017,5,6.29
ReleaseSite: OTHER,2017,3,2128.47
ReleaseSite: OTHER,2017,4,161.65
ReleaseSite: OTHER,2017,5,14.05
ReleaseSite: OTHER,2017,6,2
ReleaseSite: AMERICAN,2018,3,309.08
ReleaseSite: OTHER,2018,3,1236.39
ReleaseSite: OTHER,2018,4,133.93
ReleaseSite: OTHER,2018,5,3.29
ReleaseSite: AMERICAN,2019,3,2281.59
ReleaseSite: AMERICAN,2019,4,7.64
ReleaseSite: OTHER,2019,3,2430.07
ReleaseSite: OTHER,2019,4,47.4
ReleaseSite: OTHER,2019,5,5.62
ReleaseSite: AMERICAN,2020,3,54
ReleaseSite: AMERICAN,2020,4,503.08000000000004
ReleaseSite: OTHER,2020,3,2714.35
ReleaseSite: OTHER,2020,4,823.88
ReleaseSite: OTHER,2020,5,1.88
ReleaseSite: AMERICAN,2021,3,791.62
ReleaseSite: AMERICAN,2021,4,16.16
ReleaseSite: AMERICAN,2021,5,4.8
ReleaseSite: OTHER,2021,3,867.33
ReleaseSite: OTHER,2021,4,559.98
ReleaseSite: AMERICAN,2022,3,1253.75
ReleaseSite: AMERICAN,2022,4,91.13000000000001
ReleaseSite: OTHER,2022,3,2154.65
ReleaseSite: OTHER,2022,4,102.29
ReleaseSite: OTHER,2022,5,4
ReleaseSite: AMERICAN,2023,4,246.93
ReleaseSite: AMERICAN,2023,5,1
ReleaseSite: OTHER,2023,3,9267.59
ReleaseSite: OTHER,2023,4,738.02
ReleaseSite: OTHER,2023,5,12
ReleaseSite: OTHER,2024,3,12.04
ReleaseSite: OTHER,2024,4,246.5
ReleaseSite: OTHER,2024,5,2.67
